id,idiom,meaning,example,relevance
41,Every cloud has a silver lining,"There's always something positive, even in a bad situation","Although we lost the game, we still had fun playing. Every cloud has a silver lining.",3 class
42,Face the music,Accept the consequences,"You made a mistake, now it's time to face the music.",3 class
43,Get a taste of your own medicine,Experience what you've done to others,"She was always mean to others, but when it happened to her, she got a taste of her own medicine.",3 class
44,Get the ball rolling,Start something,Let's get the ball rolling on this project.,3 class
45,Give someone the cold shoulder,Ignore someone,"He tried to talk to her, but she gave him the cold shoulder.",3 class
46,Hit the nail on the head,Be exactly right,You hit the nail on the head with that answer  great job!,3 class
47,In the same boat,In the same situation,"We're all in the same boat, so let's work together.",3 class
48,It's raining cats and dogs,It's raining very hard,We can't go outside  it's raining cats and dogs!,3 class
49,Jump the gun,Start something too soon,Don't jump the gun  we need to make sure everything is ready first.,3 class
50,Keep your chin up,Stay positive,"Don't worry, everything will be okay. Keep your chin up.",3 class
51,Kill two birds with one stone,Accomplish two things at once,"By studying for the test, she was able to finish her homework too. She killed two birds with one stone.",3 class
52,Let the cat out of the bag,Reveal a secret,He accidentally let the cat out of the bag about the surprise party.,3 class
53,Make a long story short,Summarize something,"To make a long story short, we ended up getting lost on our way to the concert.",3 class
54,Make ends meet,Have enough money to survive,It's hard to make ends meet with a low-paying job.,3 class
55,A hot potato,A problem that is difficult or dangerous to deal with,The issue of climate change is a hot potato for politicians.,3 class
56,A piece of cake,Something that is easy or simple to do,The math test was a piece of cake for Lily.,3 class
57,All ears,Listening eagerly to what someone has to say,"Tell me your story, I'm all ears.",3 class
58,Beat around the bush,Avoiding the main topic or question and talking indirectly,Stop beating around the bush and just tell me what happened.,3 class
59,Bite the bullet,To face a difficult or painful situation,"I don't like needles, but I had to bite the bullet and get a shot.",3 class
60,Break a leg,A good luck wish before a performance or event,Break a leg on your piano recital tonight!,3 class
61,By the skin of your teeth,Just barely managing to do something,I passed my math test by the skin of my teeth.,3 class
62,Cry over spilled milk,To be upset over something that cannot be changed,"You lost the game, there's no use crying over spilled milk.",3 class
63,Cut corners,To do something in a hasty or careless way in order to save time or money,Don't cut corners when it comes to safety.,3 class
64,Don't count your chickens before they hatch,Don't be too sure of something before it actually happens,"You might get the job, but don't count your chickens before they hatch.",3 class
65,Down to the wire,Running out of time to do something or make a decision,We had to work down to the wire to finish the project on time.,3 class
66,Easy as pie,Something that is very easy to do,Learning to ride a bike was easy as pie.,3 class
67,Get the ball rolling,To start something or get a process going,Let's get the ball rolling on our science project.,3 class
68,Go the extra mile,To put in extra effort or do more than is expected,"If you want to impress your teacher, go the extra mile on your homework.",3 class
69,Hit the nail on the head,To accurately describe or identify something,My mom hit the nail on the head when she said I needed more sleep.,3 class
70,In hot water,In trouble or in a difficult situation,I forgot to do my homework and now I'm in hot water with my teacher.,3 class
71,It's raining cats and dogs,It's raining very heavily,"I can't go outside, it's raining cats and dogs!",3 class
72,Jump the gun,To act too quickly or prematurely,Don't jump the gun and assume you got the job.,3 class
73,Keep your chin up,To stay optimistic in a difficult situation,"I know you failed your test, but keep your chin up and study harder.",3 class
74,Let the cat out of the bag,To reveal a secret,I accidentally let the cat out of the bag about the surprise party.,3 class
75,Make a long story short,To give a summary or shortened version of a story or event,"To make a long story short, I missed the bus and was late for school.",3 class
76,On the ball,Alert and aware,My teacher is always on the ball when it comes to catching cheaters.,3 class
77,On thin ice,In a risky or dangerous situation,"If you keep disobeying your parents, you're on thin ice.",3 class
78,A blessing in disguise,"Something that seems bad, but turns out to be good in the end",Failing the test turned out to be a blessing in disguise because it made me study harder for the next one.,3 class
79,A piece of cake,Something that is very easy,The spelling test was a piece of cake for me because I had studied hard.,3 class
80,All ears,Listening carefully,The teacher told us a story and we were all ears because it was so interesting.,3 class
81,An arm and a leg,Very expensive,"The new video game console costs an arm and a leg, so I can't afford it.",3 class
82,Barking up the wrong tree,Looking in the wrong place or asking the wrong person,"If you ask the librarian about the science fair, you're barking up the wrong tree.",3 class
83,Beat around the bush,Avoiding the main topic or not speaking directly about it,Stop beating around the bush and tell me what happened at the party.,3 class
84,Better late than never,It's better to do something late than to never do it at all,"I forgot to wish my friend a happy birthday, but I called her the next day and she said better late than never.",3 class
85,Break a leg,Good luck,"The actors were nervous before the play, but the director said break a leg to encourage them.",3 class
86,Butterflies in my stomach,Feeling nervous or anxious,"Before the big game, I had butterflies in my stomach because I was so nervous.",3 class
87,Caught red-handed,Caught in the act of doing something wrong,The teacher caught me red-handed when I was cheating on the test.,3 class
88,Cost an arm and a leg,Very expensive,"The new bike cost me an arm and a leg, but it was worth it because it's so cool.",3 class
89,Cry over spilt milk,To be upset over something that can't be undone,"I forgot to bring my lunch to school and cried over spilt milk, but my friend shared her sandwich with me.",3 class
90,Cut corners,To do something quickly and not very well,"I didn't have enough time to finish my homework, so I cut corners and didn't do the last page.",3 class
91,Don't judge a book by its cover,Don't make assumptions based on appearance,"The new student looked shy and quiet, but after we got to know her, she was very friendly and outgoing. Don't judge a book by its cover!",3 class
92,Don't put all your eggs in one basket,Don't rely on one thing or one plan,"I applied to several colleges, so I didn't put all my eggs in one basket.",3 class
93,Every cloud has a silver lining,There is always something positive to be found in a negative situation,"I was sad that I didn't make the soccer team, but every cloud has a silver lining because now I have more time to focus on my music lessons.",3 class
94,Face the music,Accept the consequences of your actions,"I knew I was going to get in trouble for breaking the vase, so I had to face the music and tell my parents what happened.",3 class
95,Fit as a fiddle,In good health or physical condition,The doctor said I was fit as a fiddle and didn't need to take any medicine.,3 class
96,Get cold feet,To suddenly become nervous or afraid,"I was excited to go on the rollercoaster, but when I saw how high it was, I got cold feet and decided not to go on it.",3 class
826,Give a hand,To offer assistance,Can you give me a hand with these boxes?,3 class
827,lend a hand,To offer assistance,Can you lend a hand with this project?,3 class
828,Help out,To assist someone,I'm going to help out at the food bank this weekend.,3 class
829,Come to someone's rescue,To help someone in a difficult situation,The firefighters came to the family's rescue when their house caught on fire.,3 class
830,Be a lifesaver,To be very helpful in a difficult situation,Your notes were a lifesaver. Thanks for helping me study.,3 class
831,Pitch in,To contribute one's effort or resources,Let's all pitch in to clean up the park.,3 class
832,lend a helping hand,To offer assistance,My neighbor always lends a helping hand when I need it.,3 class
833,Make a difference,To have a positive impact,Your donation can make a difference in the lives of those who need it.,3 class
834,Save the day,To prevent a problem or help in a crisis,The paramedics saved the day and saved the boy's life.,3 class
835,Do someone a favor,To help someone out of kindness,Can you do me a favor and water my plants while I'm away?,3 class
836,Pay it forward,To do a good deed for someone else as a result of someone else's good deed,I received a scholarship and now I want to pay it forward by helping other students.,3 class
837,Be there for someone,To provide emotional support and help,My friend was there for me when I was going through a tough time.,3 class
838,lend a sympathetic ear,To listen with empathy,Sometimes people just need someone to lend a sympathetic ear.,3 class
839,Give someone a boost,To encourage and help someone,Your kind words gave me a boost of confidence.,3 class
840,Go out of one's way,To make an extra effort to help someone,My boss went out of her way to help me finish the project on time.,3 class
841,Be of service,To be helpful and useful,I want to be of service to my community by volunteering.,3 class
842,Hold someone's hand,To guide and provide support to someone who is learning something new or difficult,The teacher held the student's hand as he learned how to write his name.,3 class
843,Be a shoulder to cry on,To provide emotional support to someone who is upset or grieving,My sister was a shoulder to cry on when I lost my job.,3 class
844,Throw someone a lifeline,To offer help or support when someone is in a difficult situation,The counselor threw the student a lifeline when he was struggling with anxiety.,3 class
845,Be a good Samaritan,To help someone in need without expecting anything in return,The stranger who found my lost wallet was a good Samaritan.,3 class
846,Sweet tooth,A love for sugary foods,He has a sweet tooth and can't resist desserts.,3 class
847,Sweet talk,Flattery or persuasive language used to get what one wants,She used sweet talk to convince her parents to let her go to the party.,3 class
848,Sweeten the pot,To make an offer more appealing by adding something extra,The company sweetened the pot by offering a signing bonus to new employees.,3 class
849,Sweetheart deal,A business agreement that favors one side unfairly,The contract was a sweetheart deal for the company and left the workers with low pay.,3 class
850,Sweeten the deal,To make an offer more appealing by adding something extra,The seller sweetened the deal by including free shipping.,3 class
851,Sweeten up,To become kinder or more pleasant in behavior,She sweetened up after realizing her mistake.,3 class
852,Sweet as pie,Extremely nice or friendly,"The new neighbor is sweet as pie, always bringing over cookies and offering to help.",3 class
853,Sweet as sugar,Extremely sweet or kind,"The little girl was sweet as sugar, always smiling and saying hello to everyone.",3 class
854,Home sweet home,The feeling of happiness and comfort when returning to one's own home,"After a long trip, it was good to be back home sweet home.",3 class
855,Short and sweet,Concise and to the point,"The boss's speech was short and sweet, only lasting a few minutes.",3 class
856,Sweet deal,A favorable or advantageous business agreement,The contract was a sweet deal for both parties involved.,3 class
857,Sweet dreams,A farewell wish for pleasant dreams during sleep,"Her mother tucked her in and said, Goodnight, sweet dreams.",3 class
858,Sweet nothings,Words of affection or endearment spoken softly,He whispered sweet nothings in her ear during their romantic dinner.,3 class
859,Sweet spot,A place or situation that is ideal or optimal,The company found its sweet spot in the market and continued to grow.,3 class
860,Sweet revenge,Vengeful satisfaction in getting even with someone who has wronged you,"After being mistreated by her boss, she got sweet revenge by getting a better job.",3 class
861,Sweeten the pill,To make something unpleasant easier to accept or bear,The doctor sweetened the pill by explaining the benefits of the medication.,3 class
862,Sweet as honey,Extremely sweet or kind,"The little boy was sweet as honey, always offering to share his toys with others.",3 class
863,Sweet sixteen,"The age of sixteen, considered a milestone in many cultures",She celebrated her sweet sixteen with a big party and lots of presents.,3 class
864,Sweet as can be,Extremely sweet or kind,"The puppy was sweet as can be, always wagging its tail and licking people's hands.",3 class
865,Sweet victory,A satisfying and triumphant win or accomplishment,The team celebrated their sweet victory with cheers and high fives.,3 class
866,Small potatoes,Something insignificant or unimportant,The amount of money he owed was small potatoes compared to his overall debt.,3 class
867,Small talk,Casual conversation about trivial topics,We made small talk about the weather while waiting in line.,3 class
868,Small fry,Someone or something unimportant or insignificant,The new employee was just small fry compared to the CEO.,3 class
869,Small wonder,Not surprising at all,Small wonder she won the award; she worked hard for it.,3 class
870,Small change,A small amount of money,The cost of the meal was small change compared to the price of the concert tickets.,3 class
871,Small-time,Unimportant or lacking power or influence,The small-time politician had little influence in the national election.,3 class
872,Small-minded,Narrow-minded or lacking in open-mindedness,The small-minded person refused to listen to others' opinions.,3 class
873,Small victory,A minor or limited accomplishment,"It was a small victory, but he was proud of his progress.",3 class
874,Small world,An expression of surprise at a coincidence,You know my cousin? It's a small world!,3 class
875,Small hours,"The early hours of the morning, usually after midnight",They stayed up talking until the small hours of the morning.,3 class
876,Small change in one's pocket,Not having much money,He only had small change in his pocket and couldn't afford the expensive meal.,3 class
877,Small screen,"Television or computer screens, especially compared to movie screens",He preferred to watch movies on the big screen rather than the small screen.,3 class
878,Small print,"The fine print of a contract or document, often containing important details",Be sure to read the small print before signing the contract.,3 class
879,Small fry in a big pond,Someone who is unimportant or insignificant in a large group or organization,She felt like small fry in a big pond when she started her new job.,3 class
880,Small town,A small and usually quiet community,He grew up in a small town and loved the close-knit community.,3 class
881,Small change for someone,Something easy or trivial for someone to accomplish,Running a 5K is small change for someone who trains for marathons.,3 class
882,Small talker,Someone who engages in casual conversation easily,He's a great small talker and can strike up a conversation with anyone.,3 class
883,Small-scale,Limited in scope or size,The project was a small-scale experiment to test the new technology.,3 class
884,Small man syndrome,A term used to describe someone who acts overly aggressive or boastful to compensate for their small stature,The boss had small man syndrome and constantly bullied his employees.,3 class
885,Small change of plan,A minor adjustment to a plan,"There was a small change of plan for the party, but it didn't affect the overall outcome.",3 class
2196,All ears,Eager and ready to listen,"I'm all ears, tell me about your day at school.",3 class
2197,Apple of someone's eye,Someone or something very precious and important,"The new puppy is the apple of our family's eye, we love him so much.",3 class
2198,Bee in one's bonnet,An idea that someone can't stop thinking or talking about,He's got a bee in his bonnet about becoming an astronaut when he grows up.,3 class
2199,Big cheese,An important or influential person,"The principal is the big cheese of the school, he makes all the important decisions.",3 class
2200,Bird's eye view,"A view from above, as if seen by a bird flying in the air","The airplane provided us with a bird's eye view of the city, it was amazing.",3 class
2201,Blessing in disguise,Something that seems bad or unlucky at first but turns out to be good in the end,"Losing his job was a blessing in disguise, he found a better one soon after.",3 class
2202,Bottom line,The most important or essential part of something,The bottom line is that we need to work together to finish the project on time.,3 class
2203,Break a leg,Good luck,Break a leg on your performance tonight!,3 class
2204,Butterflies in one's stomach,Feeling nervous or anxious,She had butterflies in her stomach before the big test.,3 class
2205,By the book,Following the rules exactly as they are written,We need to do everything by the book to make sure everything is done correctly.,3 class
2206,Cat's meow,Something or someone that is highly admired or regarded,"The new dress is the cat's meow, everyone at the party loved it.",3 class
2207,Cold turkey,Stopping something suddenly and completely,"He quit smoking cold turkey, it was a difficult but necessary decision.",3 class
2208,Cross one's fingers,To hope for good luck or success,I'm crossing my fingers that I'll pass the test tomorrow.,3 class
2209,Cry over spilled milk,To be upset about something that cannot be changed,"There's no use crying over spilled milk, let's just move on and fix the problem.",3 class
2210,Cup of tea,Something that someone likes or enjoys,"Playing soccer is not really my cup of tea, I prefer basketball.",3 class
2211,Diamond in the rough,Something or someone with great potential but needs to be polished or refined,"The new employee is a diamond in the rough, he just needs some training and guidance.",3 class
2212,Drop in the bucket,A very small or insignificant amount compared to what is needed,"The $5 donation was just a drop in the bucket, we need a lot more to fund the project.",3 class
2213,Feather in one's cap,An achievement or accomplishment to be proud of,"Getting an A on the test was a feather in his cap, he studied really hard for it.",3 class
2214,Fit as a fiddle,In good physical condition,"After exercising regularly, she feels fit as a fiddle.",3 class
2215,Golden opportunity,A very valuable or advantageous opportunity,"The scholarship is a golden opportunity, it will help pay for his college education.",3 class
2216,Good as gold,Well-behaved and obedient,"The new puppy is as good as gold, he listens to all of our commands.",3 class
2217,Goosebumps,"A reaction to cold, fear, or excitement that causes the skin to become raised in small bumps","The scary movie gave me goosebumps, it was so spooky.",3 class
2218,Get the ball rolling,To start something,Let's get the ball rolling by brainstorming ideas.,3 class
2219,Hit the nail on the head,To be correct,You hit the nail on the head with your answer.,3 class
2220,Jump the gun,To do something too soon,Don't jump the gun and start eating before everyone else is ready.,3 class
2221,Keep an eye on,To watch or monitor,Can you keep an eye on my backpack while I go to the bathroom?,3 class
2222,Let the cat out of the bag,To reveal a secret,Don't let the cat out of the bag about the surprise party.,3 class
2223,Make a long story short,To summarize,"To make a long story short, we missed the bus and had to walk home.",3 class
2224,Open a can of worms,To cause a complicated problem,Talking about politics can sometimes open a can of worms.,3 class
2225,Put all your eggs in one basket,To rely on one thing or idea,Don't put all your eggs in one basket and study for other subjects too.,3 class
2226,Run out of steam,To lose energy or motivation,I ran out of steam halfway through the race.,3 class
2227,See eye to eye,To agree,We see eye to eye on the importance of recycling.,3 class
2228,Take the bull by the horns,To take charge and deal with a problem directly,I decided to take the bull by the horns and talk to the teacher about the issue.,3 class
2229,Under the weather,To feel sick or unwell,I can't come to school today because I'm feeling under the weather.,3 class
2230,Vanish into thin air,To disappear without a trace,The magician made the rabbit vanish into thin air.,3 class
2231,Walk on eggshells,To be cautious or sensitive in a situation,We had to walk on eggshells around the baby so as not to wake him up.,3 class
2232,X marks the spot,To locate something specific,We found the treasure by following the map and looking for where the X marked the spot.,3 class
2233,Yield the floor,To allow someone else to speak,I yielded the floor to my classmate so he could share his ideas.,3 class
2234,Zip your lip,To be quiet or keep a secret,I told my friend to zip her lip about the surprise party.,3 class
2235,A picture is worth a thousand words,A visual representation can convey more than words,The graph showed us that a picture is worth a thousand words.,3 class
2236,Barking up the wrong tree,To pursue the wrong thing or idea,We were barking up the wrong tree by looking in the wrong section of the library.,3 class
2237,Cross your fingers,To hope for good luck,I crossed my fingers before taking the test.,3 class
2238,Don't count your chickens before they hatch,To not make assumptions about the future,Don't count your chickens before they hatch and assume you'll get a perfect score on the test.,3 class
2239,Eat humble pie,To admit fault or wrongdoing,I had to eat humble pie and apologize for my mistake.,3 class
2240,Face the music,To accept the consequences of one's actions,I knew I had to face the music and tell my parents what happened.,3 class
2241,Give it a shot,To try something,I decided to give it a shot and audition for the school play.,3 class
2242,Hit the books,To study,I need to hit the books and study for the upcoming test.,3 class
2243,all of them,everyone,All of them enjoyed the party.,3 class
2244,both of them,two people or things,Both of them are my best friends.,3 class
2245,every one of us,all of us,Every one of us must do our part.,3 class
2246,hers to keep,belongs to her,The book is hers to keep.,3 class
2247,his own way,doing things in one's own manner,He always wants to do things his own way.,3 class
2248,I don't know,I have no information,"I'm sorry, I don't know the answer.",3 class
2249,it's mine,belongs to me,This toy is mine.,3 class
2250,it's theirs,belongs to them,The toys are theirs to play with.,3 class
2251,it's yours,belongs to you,Is this pen yours?,3 class
2252,just between us,confidential,"Just between us, I don't like the new teacher.",3 class
2253,keep it up,continue to do well,"Keep it up, you're doing great!",3 class
2254,let me know,inform me,Let me know if you need any help.,3 class
2255,make it up,reconcile,Let's make it up and be friends again.,3 class
2256,me too,same here,"I love pizza, me too!",3 class
2257,myself,me personally,I will do it myself.,3 class
2258,nobody else,no one else,Nobody else knows the secret.,3 class
2259,nothing else,nothing more,There's nothing else I can do.,3 class
2260,of our own,belonging to us,This house is of our own.,3 class
2261,one of them,one person or thing,One of them is missing.,3 class
2262,one of us,one person in our group,She is one of us now.,3 class
2263,our own way,doing things in our own manner,Let's do it our own way.,3 class
2264,out of it,not involved,"I'm out of it, I don't know what happened.",3 class
2265,over and over,repeatedly,He kept saying the same thing over and over again.,3 class
2266,right away,immediately,I'll do it right away.,3 class
2267,see for yourself,witness firsthand,Go see for yourself what's happening.,3 class
2268,stand by me,support me,Will you stand by me no matter what?,3 class
2269,stay away,keep a distance,"Stay away from the fire, it's dangerous.",3 class
2270,take it easy,relax,Take it easy and enjoy the holiday.,3 class
2271,take it from me,believe me,"Take it from me, it's not worth it.",3 class
2272,take it personally,take offense,"Don't take it personally, it's not about you.",3 class
2273,take it seriously,consider important,You should take your studies seriously.,3 class
2274,take your pick,choose one,You can take your pick of any toy you want.,3 class
2275,that's all,nothing more,That's all I have to say.,3 class
2276,their own way,doing things in their own manner,They always do things their own way.,3 class
2277,this way,in this manner,Do it this way and you'll be fine.,3 class
2278,those people,those individuals,Those people over there are my neighbors.,3 class
2279,to each his own,each person has their preferences,"I like rock music and you like country, to each his own.",3 class
2280,us kids,we children,Us kids are going to the park.,3 class
2281,we kids,we children,We kids love to play in the rain.,3 class
2282,all at once,suddenly and simultaneously,The fireworks exploded all at once.,3 class
2283,as always,consistent with previous behavior,"She was late, as always.",3 class
2284,as fast as lightning,very quickly,He ran as fast as lightning to catch the bus.,3 class
2285,as hard as nails,very tough,The wrestler was as hard as nails.,3 class
2286,as slow as molasses,very slowly,The line at the DMV was moving as slow as molasses.,3 class
2287,at all times,always,You should wear a helmet at all times while riding a bike.,3 class
2288,at first glance,initially,"At first glance, the painting looked like an ordinary landscape.",3 class
2289,at heart,fundamentally,She is a kind person at heart.,3 class
2290,at last,finally,"At last, the concert was over.",3 class
2291,at once,immediately,The teacher asked the students to begin their work at once.,3 class
2292,at the moment,currently,"At the moment, I am working on my homework.",3 class
2293,at the same time,simultaneously,We can watch TV and do homework at the same time.,3 class
2294,by and large,generally,"By and large, people are honest.",3 class
2295,day and night,continuously,The construction crew worked day and night to finish the building.,3 class
2296,every now and then,occasionally,"Every now and then, we go out for ice cream.",3 class
2297,every other day,alternately,He exercises every other day.,3 class
2298,for a change,to do something different,Let's go to the beach for a change.,3 class
2299,for good,permanently,She moved to another country for good.,3 class
2300,for sure,without doubt,I know for sure that I left my keys at home.,3 class
2301,from time to time,occasionally,"From time to time, I like to read a book.",3 class
2302,in a flash,very quickly,He finished his work in a flash.,3 class
2303,in a row,consecutively,She won the race two years in a row.,3 class
2304,in any case,regardless,"In any case, we will finish the project by the deadline.",3 class
2305,in general,broadly speaking,"In general, people like to be treated with respect.",3 class
2306,in no time,very quickly,The food was ready in no time.,3 class
2307,in the meantime,meanwhile,"You can start your homework, and in the meantime, I'll make dinner.",3 class
2308,in the same boat,in the same situation,We are all in the same boat when it comes to the pandemic.,3 class
2309,just about,almost,The party was just about over when the police arrived.,3 class
2310,more or less,approximately,"More or less, it will take an hour to get there.",3 class
2311,once in a while,occasionally,"Once in a while, we like to go to the movies.",3 class
2312,once upon a time,a long time ago,"Once upon a time, there was a princess who lived in a castle.",3 class
2313,on the contrary,the opposite,"On the contrary, I think we should go to the beach.",3 class
2314,on the other hand,in contrast,"On the one hand, it's a good idea, but on the other hand, it could be risky.",3 class
2315,out of the blue,unexpectedly,The news came out of the blue.,3 class
2316,over and over,repeatedly,He kept saying the same thing over and over again.,3 class
2317,A bird in the hand is worth two in the bush,It's better to hold onto what you have than to risk losing it by trying to get more,"I'm happy with my current job. A bird in the hand is worth two in the bush, after all.",3 class
2318,A penny for your thoughts,A request for someone to share their thoughts or feelings on a matter,You look like you're deep in thought. A penny for your thoughts?,3 class
2319,Actions speak louder than words,What someone does is more important than what they say they will do,"He promised to help me with my project, but he never showed up. Actions speak louder than words, I guess.",3 class
2320,All bark and no bite,Someone who talks tough but doesn't follow through with their threats,Don't worry about him. He's all bark and no bite.,3 class
2321,All in the same boat,All in a similar situation or facing a similar challenge,"We may have different backgrounds, but when it comes to this project, we're all in the same boat.",3 class
2322,An apple a day keeps the doctor away,Eating healthy can help you avoid getting sick,I always try to eat an apple a day to keep the doctor away.,3 class
2323,Barking up the wrong tree,Accusing or looking in the wrong place or person,"If you think I broke the vase, you're barking up the wrong tree.",3 class
2324,Beat around the bush,To avoid talking directly about a subject,Stop beating around the bush and just tell me what you want.,3 class
2325,Better late than never,It's better to do something late than to never do it at all,"I know I'm late, but better late than never, right?",3 class
2326,Bite the bullet,To endure a painful or difficult situation,"I hate going to the dentist, but I know I have to bite the bullet and make an appointment.",3 class
2327,Break a leg,"A way to wish someone good luck, especially in a performance",Break a leg at your audition!,3 class
2328,Butterflies in your stomach,Feeling nervous or anxious about something,I have butterflies in my stomach about my upcoming presentation.,3 class
2329,By the skin of your teeth,Just barely managing to do something,I passed my math exam by the skin of my teeth.,3 class
2330,Don't count your chickens before they hatch,Don't make assumptions about the future before it happens,"You haven't been offered the job yet, so don't count your chickens before they hatch.",3 class
2331,Don't cry over spilled milk,Don't worry about things that have already happened and can't be changed,"I know you made a mistake, but don't cry over spilled milk. Just try to fix it.",3 class
2332,Don't put all your eggs in one basket,"Don't rely on one thing or plan, as it could fail",I'm applying to multiple colleges because I don't want to put all my eggs in one basket.,3 class
2333,Every cloud has a silver lining,There's something positive in every difficult situation,"I didn't get the job I wanted, but every cloud has a silver lining. At least I still have my current job.",3 class
2334,Get a taste of your own medicine,Experience something that you have done to others,"She's always been so rude to me, but now that she's getting a taste of her own medicine, she doesn't like it.",3 class
304,A penny for your thoughts,Asking someone what they are thinking,"You seem quiet today, what's on your mind? A penny for your thoughts.",4 class
305,Beat around the bush,Avoiding the main topic,Stop beating around the bush and just tell me what you want.,4 class
306,Call it a day,To stop working or doing something for the day,We've been studying for hours. Let's call it a day.,4 class
307,Don't count your chickens before they hatch,Don't rely on something good happening before it actually happens,"I hope I get an A on the test, but I won't count my chickens before they hatch.",4 class
308,Every cloud has a silver lining,Every negative situation has some positive aspect to it,"I didn't get the lead in the play, but I got a smaller part. Every cloud has a silver lining.",4 class
309,Face the music,To accept the consequences of one's actions,"I know I broke the window, and now I have to face the music.",4 class
310,Get off someone's back,To stop bothering or criticizing someone,Can you please get off my back? I'm trying my best.,4 class
311,Hit the nail on the head,To be exactly right,You hit the nail on the head! That's exactly what I was thinking.,4 class
312,In hot water,In trouble or difficulty,"I forgot to do my homework again, so now I'm in hot water.",4 class
313,Jump the gun,To start something too soon,"I know you're excited to start the project, but let's not jump the gun. We need to plan first.",4 class
314,Keep your chin up,To stay positive and hopeful,"You didn't make the team this year, but keep your chin up. You'll get another chance.",4 class
315,Leave no stone unturned,To search thoroughly,I'm going to leave no stone unturned until I find my lost phone.,4 class
316,Make a long story short,To tell a story briefly,"To make a long story short, we missed the bus and had to walk home.",4 class
317,"No pain, no gain","To achieve something, you have to work hard and endure some discomfort","I know practice is hard, but remember, no pain, no gain.",4 class
318,On thin ice,In a risky or dangerous situation,You're on thin ice with your parents if you don't come home on time.,4 class
319,Pull someone's leg,To tease or joke with someone,I was just pulling your leg. I didn't really eat your sandwich.,4 class
320,Quit cold turkey,To stop doing something completely and abruptly,I decided to quit sugar cold turkey and haven't had any sweets in weeks.,4 class
321,Rule of thumb,A general principle or rule based on experience,"As a rule of thumb, it's best to get a good night's sleep before a big test.",4 class
322,Sit tight,To wait patiently,"I know you're excited to open your presents, but sit tight until everyone is here.",4 class
323,Take a rain check,To decline an invitation but suggest doing it at a later time,"I can't come to the movies tonight, but can I take a rain check for next week?",4 class
324,Up in arms,Angry or outraged,The students were up in arms when they found out about the new dress code.,4 class
325,Vanish into thin air,To disappear suddenly and completely,"I left my backpack here, but now it's vanished into thin air!",4 class
326,All ears,Listening attentively,Sarah was all ears during the lecture.,4 class
327,Apple of my eye,A cherished person or thing,Her little brother was the apple of her eye.,4 class
328,Break a leg,Good luck,"Before the school play, the drama teacher told the students to break a leg.",4 class
329,Cat got your tongue,Unable to speak,"The teacher asked the student a question, but it seemed that the cat had got her tongue.",4 class
330,Couch potato,A lazy person,The student's parents were worried that he would become a couch potato if he spent all his time playing video games.,4 class
331,Cry over spilled milk,Worrying about something that has already happened and can't be changed,"The student forgot his textbook at home, but there was no use crying over spilled milk.",4 class
332,Cut to the chase,Get to the point,The teacher asked the student to cut to the chase and explain his answer.,4 class
333,Devil's advocate,Someone who takes a contrary position for the sake of argument,The student played devil's advocate in the class debate.,4 class
334,Don't cry over spilt milk,Don't worry about things that can't be changed,"The student was upset about losing the game, but the coach told him not to cry over spilt milk.",4 class
335,Eager beaver,Someone who is always enthusiastic about doing something,The student was an eager beaver when it came to participating in class activities.,4 class
336,Every cloud has a silver lining,Every bad situation has some good aspect to it,"The student was disappointed about not getting the lead role in the school play, but the teacher reminded her that every cloud has a silver lining.",4 class
337,Face the music,Take responsibility for one's actions,The student knew he had done something wrong and was ready to face the music.,4 class
338,Get off the hook,Avoid punishment,"The student thought he was going to be punished for forgetting his homework, but he got off the hook because the teacher didn't notice.",4 class
339,Go the extra mile,Make a special effort to achieve something,The student decided to go the extra mile and study for an extra hour to prepare for the test.,4 class
340,Hit the books,Study hard,The student had to hit the books in order to pass his math test.,4 class
341,In a pickle,In a difficult situation,The student found himself in a pickle when he realized he had left his project at home.,4 class
342,Jump on the bandwagon,Follow a popular trend or activity,The student decided to jump on the bandwagon and start playing the latest video game.,4 class
343,Keep your chin up,Stay optimistic,The teacher encouraged the student to keep her chin up and keep trying even if she didn't do well on the first try.,4 class
344,Kill two birds with one stone,Accomplish two things at once,The student was able to kill two birds with one stone by completing his homework while riding the bus to school.,4 class
345,Let the cat out of the bag,Reveal a secret,The student accidentally let the cat out of the bag when he told his friend about the surprise party.,4 class
346,Like a fish out of water,Uncomfortable in a new or unfamiliar situation,The student felt like a fish out of water when he moved to a new school.,4 class
347,Make a long story short,Summarize a long story,"The student didn't have time to tell the whole story, so he made a long story short.",4 class
348,Make ends meet,Manage to survive on limited resources,The student's family,4 class
521,A sea change,A big transformation or shift in something,"After her vacation, she returned with a sea change in her attitude towards work.",4 class
522,To be dead in the water,To be stuck or unable to make progress,Our project is dead in the water until we get more funding.,4 class
523,To be in deep water,To be in trouble or facing a difficult situation,"After losing her homework, she knew she was in deep water with her teacher.",4 class
524,To be all at sea,To be confused or uncertain about something,I was all at sea during the math test because I forgot my multiplication table.,4 class
525,To be a sea of calm,To be very calm or peaceful,"Even though the storm was raging outside, my mom was a sea of calm in the kitchen.",4 class
526,To make a big splash,To make a big impression or attract a lot of attention,The new student made a big splash on the first day of school by wearing a bright pink shirt.,4 class
527,To be a drop in the ocean,To be a very small part of something much bigger,Our donation to the food bank was just a drop in the ocean of all the food they need.,4 class
