id,metaphor,meaning,example,relevance
332,The world is a stage,The world is like a play where everyone has a role,"""Life is like a play, we all have our parts to play.""",2 class
333,The sky is a canvas,The sky is like a blank canvas that can be painted with beautiful colors,"""The sunset painted the sky with shades of orange and pink.""",2 class
334,Hope is a light,Hope is what guides us through difficult times,"""Even in the darkest of nights, hope shines like a light in the distance.""",2 class
335,Happiness is a sunshine,"Happiness is warm and bright, it brings joy and light to our lives","""When my dog greets me at the door, my heart fills with sunshine.""",2 class
336,Friendship is a garden,Friendships need to be nurtured and cared for like a garden,"""A good friendship is like a beautiful garden, it needs to be watered and tended to grow.""",2 class
337,Feeling blue,To feel sad or depressed,"""I'm feeling blue today because my best friend moved away.""",2 class
338,Furry friend,"A pet that has fur, such as a cat or dog","""My furry friend is always happy to see me when I come home from school.""",2 class
339,Floating on air,To feel very happy or excited,"""When I found out I won first place, I felt like I was floating on air!""",2 class
340,Finger painting,To use your fingers to create artwork,"""In art class, we love finger painting because it's so messy and fun.""",2 class
341,Fruit of my labor,The reward or result of hard work,"""After studying for weeks, getting an A on my test was the fruit of my labor.""",2 class
342,Fishing for compliments,Trying to get others to compliment you,"""When she showed off her new dress, she was clearly fishing for compliments.""",2 class
343,Fireworks in my stomach,To feel nervous or excited,"""Before going on stage, I always have fireworks in my stomach.""",2 class
344,Finding your voice,To discover your own unique way of expressing yourself,"""As a writer, it took me a while to find my voice and style.""",2 class
345,Filling someone's shoes,To take over someone else's job or role,"""When the coach retired, it was hard to find someone who could fill his shoes.""",2 class
346,Flying high,To feel very happy and successful,"""After acing the math test, I was flying high all day!""",2 class
347,Painting a picture,To create an image in someone's mind through words,"""The author did a great job painting a picture of the magical land in her book.""",2 class
348,Playing cat and mouse,To engage in a game of pursuit or deception,"""The detective and the criminal were playing cat and mouse, trying to outsmart each other.""",2 class
349,Packed like sardines,To be crowded or tightly packed together,"""The bus was so full that we were all packed like sardines.""",2 class
350,Pig out,"To eat a lot of food, often to excess","""At the party, I pigged out on pizza and cake.""",2 class
351,Poking your nose where it doesn't belong,To interfere in someone else's business,"""I don't appreciate you poking your nose where it doesn't belong. It's none of your business.""",2 class
352,Proud as a peacock,To be very proud of oneself,"""After winning the race, he was proud as a peacock.""",2 class
353,Puddle jumper,A small airplane that flies short distances,"""We took a puddle jumper to get to the island because there wasn't a big airport nearby.""",2 class
354,Punching above your weight,To do something beyond your usual abilities or level,"""The little team is punching above their weight this season, winning against much bigger opponents.""",2 class
355,Put the pedal to the metal,To accelerate or speed up,"""When the light turned green, he put the pedal to the metal and zoomed ahead.""",2 class
356,Pushing up daisies,To be dead and buried,"""If you don't take care of your health, you'll be pushing up daisies before you know it.""",2 class
357,Hot potato,A controversial or difficult issue that nobody wants to handle,"""The topic of climate change is a hot potato that politicians are reluctant to address.""",2 class
358,Head in the clouds,To be lost in thought or daydreaming,"""She often has her head in the clouds, dreaming up new ideas.""",2 class
359,Heart of gold,To have a kind and generous nature,"""My grandmother has a heart of gold and is always helping others.""",2 class
360,Hit the nail on the head,To accurately identify or solve a problem,"""He hit the nail on the head when he suggested we needed more funding to complete the project.""",2 class
361,Hopping mad,To be extremely angry or upset,"""When he found out someone had stolen his bike, he was hopping mad.""",2 class
362,House of cards,A situation or plan that is likely to collapse or fail,"""The company's financial plan was a house of cards that fell apart when the economy slowed down.""",2 class
363,Hungry as a bear,To be very hungry,"""After playing all afternoon, I was hungry as a bear and ate a big dinner.""",2 class
364,Hurry up and wait,"To be in a hurry, but have to wait for something","""We were told to hurry up and wait for the bus, which was frustrating.""",2 class
365,Hitting the books,To study or do homework,"""I have to hit the books if I want to do well on the test tomorrow.""",2 class
366,Happy as a clam,To be very happy and content,"""After winning the game, she was happy as a clam and couldn't stop smiling.""",2 class
367,Lost in the sauce,To be confused or overwhelmed by a situation,"""When the teacher started talking about fractions, I was lost in the sauce.""",2 class
368,Life is a rollercoaster,Life has its ups and downs,"""One day you might be happy and the next you might be sad. Life is a rollercoaster.""",2 class
369,Loud as a lion,To be very loud,"""When the concert started, the crowd was loud as a lion.""",2 class
370,Lazy as a sloth,To be very lazy,"""On the weekends, I like to be lazy as a sloth and just relax.""",2 class
371,Long arm of the law,The power and influence of the police or law enforcement agencies,"""The criminal was caught by the long arm of the law.""",2 class
372,Laughing all the way to the bank,To make a lot of money and be very happy about it,"""After winning the lottery, he was laughing all the way to the bank.""",2 class
373,Life is a journey,"Life is a process that involves ups and downs, growth, and change","""Life is a journey, and every experience we have teaches us something new.""",2 class
374,Like a fish out of water,To be in a situation where you feel uncomfortable or out of place,"""When I moved to a new school, I felt like a fish out of water.""",2 class
375,Love is a rose,Love is beautiful but has thorns,"""Love is like a rose; it's beautiful, but it can also hurt you.""",2 class
376,Leaps and bounds,To make rapid progress or improvement,"""With practice, his soccer skills improved by leaps and bounds.""",2 class
377,Dark as night,Very dark,The cave was dark as night.,2 class
378,Dance like a butterfly,Dance gracefully,She danced like a butterfly at the ballet recital.,2 class
379,Dead as a doornail,Completely lifeless,The flower was dead as a doornail after the frost.,2 class
380,Deep as the ocean,Very deep,The swimming pool was not as deep as the ocean.,2 class
381,Diamond in the rough,A person with potential who needs polishing,The new student was a diamond in the rough.,2 class
382,Dirt cheap,Very inexpensive,The candy was dirt cheap at the store.,2 class
383,Dog tired,Very tired,"After playing all day, the puppy was dog tired.",2 class
384,Drink like a fish,Drink a lot of liquid,The camel can drink water like a fish.,2 class
385,Drop in the bucket,A small amount compared to what is needed,The $1 donation was just a drop in the bucket for the charity.,2 class
386,Dry as a bone,Completely dry,"After the sun came out, the clothes were dry as a bone.",2 class
387,Dumb as a rock,Very unintelligent,"The turtle is not dumb as a rock, it's just slow.",2 class
388,Eager beaver,Someone who is enthusiastic and ready to work,The student was an eager beaver to start the project.,2 class
389,Early bird,Someone who wakes up early,"The robin is an early bird, it wakes up at dawn.",2 class
390,Eat like a bird,Eat very little,"The finch eats like a bird, it eats a few seeds each day.",2 class
391,Easy as pie,Very easy,The math problem was easy as pie to solve.,2 class
392,Elephant in the room,A problem that is obvious but not being addressed,The fact that the teacher was absent was the elephant in the room.,2 class
393,End of the road,The end of a journey or task,"After finishing the project, we reached the end of the road.",2 class
394,Every dog has its day,Everyone gets their moment to shine,Even the quiet student can have their day.,2 class
395,Eye of the storm,The calm center of a difficult situation,"In the middle of the argument, she found the eye of the storm.",2 class
396,Face the music,Accept the consequences of one's actions,"After breaking the vase, the child had to face the music.",2 class
397,Faint as a feather,Almost unconscious,"After running in the sun, the runner felt faint as a feather.",2 class
398,Fall head over heels,To fall deeply in love,The boy fell head over heels in love with the new girl in class.,2 class
399,Feather in one's cap,An achievement to be proud of,The student's good grades were a feather in his cap.,2 class
400,Fighting like cats and dogs,Arguing or fighting constantly,The siblings were fighting like cats and dogs over the TV remote.,2 class
401,Fine as wine,Very good,"The cake was fine as wine, it was delicious.",2 class
402,Fish out of water,Feeling out of place,The new student felt like a fish out of water in the classroom.,2 class
403,Fit as a fiddle,Very healthy,"After eating fruits and vegetables, the boy felt fit as a fiddle.",2 class
404,Flash in the pan,Something that is short-lived or not successful,The boy's interest in painting was just a flash in the pan.,2 class
405,Flat as a pancake,Completely flat,The tire was flat as a pancake after hitting a nail.,2 class
406,A chip off the old block,Someone who is very similar to their parents,The boy looks and acts like his dad - he's a chip off the old block.,2 class
407,A clean slate,A fresh start with no preconceived ideas,"After moving to a new city, the girl had a clean slate and was excited to start over.",2 class
408,A dime a dozen,Very common or not valuable,The shells on the beach were a dime a dozen.,2 class
409,A drop in the ocean,A small and insignificant amount,The money they donated was a drop in the ocean compared to what was needed.,2 class
410,A fish in troubled waters,Someone who is comfortable in difficult situations,The experienced sailor was like a fish in troubled waters during the storm.,2 class
411,A friend in need is a friend indeed,A true friend will help you in times of need,"When she was sick, her best friend came to visit her - a friend in need is a friend indeed.",2 class
412,A needle in a haystack,Something that is very difficult to find,Finding her lost earring in the park was like looking for a needle in a haystack.,2 class
413,A piece of cake,Very easy,The math problem was a piece of cake to solve.,2 class
414,A shot in the dark,A guess or attempt with little knowledge or information,The detective's theory was just a shot in the dark without any evidence.,2 class
415,A wolf in sheep's clothing,Someone who appears friendly but is actually dangerous,The stranger seemed nice but turned out to be a wolf in sheep's clothing.,2 class
416,All ears,Willing to listen attentively,The girl was all ears when her teacher started telling a story.,2 class
417,All thumbs,Clumsy with one's hands,The boy was all thumbs when he tried to tie his shoes for the first time.,2 class
418,Apple of my eye,Someone or something that is very precious or cherished,The girl's little sister was the apple of her eye.,2 class
419,As cool as a cucumber,Very calm and collected,The girl remained as cool as a cucumber during her presentation.,2 class
420,At the drop of a hat,Willing to do something immediately and without hesitation,The girl would go on a picnic at the drop of a hat.,2 class
421,Barking up the wrong tree,Pursuing the wrong course of action or person,The detective was barking up the wrong tree when he accused the wrong suspect.,2 class
422,Between a rock and a hard place,Stuck between two difficult choices,The girl was between a rock and a hard place when she had to choose between two sports teams she liked.,2 class
423,Break the ice,To make a situation less awkward or tense,The girl told a joke to break the ice at the party.,2 class
424,Butterflies in my stomach,Feeling nervous or anxious,The boy had butterflies in his stomach before his first day of school.,2 class
425,Castles in the air,Unlikely or impossible dreams or plans,The girl's dream of becoming a princess was just castles in the air.,2 class
426,Cold feet,Feeling unsure or hesitant about something,The boy had cold feet about jumping off the diving board.,2 class
427,Come rain or shine,No matter what happens,The girl promised to go on a picnic with her family come rain or shine.,2 class
428,Cut the mustard,To perform well or meet expectations,The boy cut the mustard on the soccer field during his first game.,2 class
429,A silver lining,A positive aspect of a difficult situation,"Even though it rained during the picnic, the silver lining was that they saw a beautiful rainbow.",2 class
430,A snake in the grass,Someone who appears friendly but is actually dangerous,The new student seemed nice but turned out to be a snake in the grass.,2 class
431,A soft touch,Someone who is easily persuaded or influenced,The boy was a soft touch and always gave in to his sister's requests.,2 class
432,A square peg in a round hole,Someone who doesn't fit in or belong,The girl felt like a square peg in a round hole when she moved to a new school.,2 class
433,A storm in a teacup,A small problem that is blown out of proportion,The argument between the two friends was just a storm in a teacup.,2 class
434,A sweet tooth,A love for sweet things,The girl had a sweet tooth and always wanted dessert after dinner.,2 class
217,needle in a haystack,something very difficult to find,Finding my missing earring in my messy room was like looking for a needle in a haystack.,3 class
218,night owl,a person who stays up late at night,My sister is such a night owl - she often stays up until midnight reading her books.,3 class
219,nest egg,money saved for the future,My parents have been putting a little money aside each month into a savings account as a nest egg for our college education.,3 class
220,new kid on the block,a newcomer to a group or organization,"The new kid on the block was nervous on his first day of school, but he soon made some friends.",3 class
221,no man's land,"an area that is unoccupied, undefined or outside jurisdiction",The area between the two armies was declared as no man's land and was strictly off-limits to anyone.,3 class
222,no-brainer,a decision or choice that is very easy to make,Choosing the chocolate ice cream was a no-brainer for me - it's my favorite flavor!,3 class
223,nutty as a fruitcake,crazy or eccentric,"My grandpa can be a little nutty as a fruitcake sometimes, but we all love him anyway.",3 class
224,night and day,two things that are completely different,The old car I used to have was night and day compared to my new car - it's so much faster and more efficient.,3 class
225,nose to the grindstone,working hard and steadily,"I have a lot of work to do tonight, so I need to put my nose to the grindstone and get started.",3 class
226,not playing with a full deck,not mentally sound,"The old man down the street is nice enough, but he's not playing with a full deck - sometimes he talks to himself and says strange things.",3 class
227,nine lives,the ability to survive difficult situations,Cats are said to have nine lives because they can often survive falls and other dangerous situations.,3 class
228,nail in the coffin,something that causes the end of something,The closing of the factory was the nail in the coffin for the small town's economy.,3 class
229,nosebleed seats,seats in a theater or sports arena that are high up and far from the action,"We got really cheap tickets to the concert, but they were nosebleed seats and we could barely see the stage.",3 class
230,no strings attached,without any obligations or conditions,The company offered me a free trial of their software with no strings attached - I didn't have to sign up for anything.,3 class
231,no use crying over spilled milk,there's no point in worrying about something that has already happened and cannot be changed,"I accidentally spilled juice on the carpet, but my mom told me there was no use crying over spilled milk and that we could clean it up.",3 class
232,nip in the bud,to stop something before it becomes a bigger problem,"I noticed my little sister was starting to get angry, so I tried to nip it in the bud by distracting her with a game.",3 class
233,neck of the woods,a particular area or region,"I grew up in this neck of the woods, so I know all the best places to go hiking and fishing.",3 class
234,never-ending,something that seems to go on forever,The traffic on this road is never-ending - we've been stuck here for hours!,3 class
235,not a care in the world,not worrying about anything,"When we were kids, we used to play outside all day and not have a care in the world.",3 class
236,Growing like a weed,Growing rapidly,"Sarah is growing like a weed, she's already taller than her older sister!",3 class
237,Going around in circles,Making no progress,We've been going around in circles trying to solve this puzzle.,3 class
238,Glowing with excitement,Feeling very happy,The kids were glowing with excitement when they heard they were going to Disney World.,3 class
239,Green with envy,Jealous,John was green with envy when he saw that his friend got a new bike.,3 class
240,Giving the cold shoulder,Ignoring someone,Jack's friends were giving him the cold shoulder after he lied to them.,3 class
241,Going with the flow,Following what everyone else is doing,"I'm just going with the flow, if everyone else is going to the park, I'll go too.",3 class
242,Good as gold,Well-behaved,Emma's little brother was good as gold during the family dinner.,3 class
243,Grinning from ear to ear,Smiling widely,Laura was grinning from ear to ear when she got an A on her math test.,3 class
244,Getting a taste of your own medicine,Receiving the same treatment that you give to others,"After teasing his little brother for weeks, Max finally got a taste of his own medicine.",3 class
245,Going the extra mile,Doing more than what is expected,The students went the extra mile and cleaned the classroom without being asked.,3 class
246,Golden opportunity,A great chance,Winning the lottery was a golden opportunity for Karen to travel the world.,3 class
247,Great minds think alike,Intelligent people have similar ideas,I was just about to suggest we order pizza and then you said it too! Great minds think alike.,3 class
248,Going down the rabbit hole,Entering a complex or confusing situation,"When the teacher started talking about algebra, Sarah felt like she was going down the rabbit hole.",3 class
249,Good things come in small packages,Small things can be valuable or worthwhile,"Even though the necklace was small, it was very valuable. Good things come in small packages.",3 class
250,Growing pains,Difficulties or struggles that come with growth,"Starting middle school is hard, but it's just growing pains.",3 class
251,Green light,Permission to proceed,The teacher gave us the green light to start the art project.,3 class
252,Going bananas,Going crazy or becoming very excited,The kids were going bananas when they saw the ice cream truck.,3 class
253,Getting a second wind,Reenergized or motivated after being tired,"After taking a break, Sarah got a second wind and finished her homework quickly.",3 class
254,Growing up fast,Maturing quickly,"My little brother is growing up fast, he's already starting to act like a teenager.",3 class
255,Grasping at straws,"Trying anything to solve a problem, even things that are unlikely to work",John was grasping at straws when he tried to find his lost key in the sandbox.,3 class
256,Going up in smoke,Disappearing or ending suddenly,The party was going great until the power went out and the music went up in smoke.,3 class
257,Giving someone the runaround,Avoiding or delaying answering someone's questions,The company was giving me the runaround when I asked about my missing package.,3 class
258,Good vibes,A positive feeling or energy,Being outside in the sun always gives me good vibes.,3 class
259,Barefoot,Not wearing any shoes or socks,I like to run around barefoot in the grass.,3 class
260,Bathtub,A large container for taking a bath,"After playing outside, I like to take a nice, warm bath in the bathtub.",3 class
261,Beanstalk,"A tall, slender stem of a bean plant",Jack climbed up the beanstalk to reach the giant's castle.,3 class
262,Bird's eye view,A view from above,"From the top of the mountain, we had a bird's eye view of the entire valley.",3 class
263,Blackboard jungle,"A situation in which there is chaos and disorder, especially in a school setting",The first day of school was like entering a blackboard jungle.,3 class
264,Bookworm,Someone who loves to read books,She's a real bookworm and reads a new book every day.,3 class
265,Bull in a china shop,A person who is clumsy and uncoordinated,You have to be careful with him around delicate things. He's like a bull in a china shop.,3 class
266,Butterflies in my stomach,Feeling nervous or anxious,I had butterflies in my stomach before my big presentation.,3 class
267,Button your lips,To be quiet or stop talking,"If you don't button your lips, I'm going to have to send you to the principal's office.",3 class
268,Busy as a bee,Very busy or active,She's been working on her project all day. She's as busy as a bee.,3 class
269,Beaming with joy,Showing happiness or delight,"When she got her test results back, she was beaming with joy.",3 class
270,Beat around the bush,To avoid talking about something directly,Stop beating around the bush and tell me what's really going on.,3 class
271,Blow your top,To become very angry,"When he found out he had lost his favorite toy, he blew his top.",3 class
272,Bucket list,A list of things a person wants to do before they die,Skydiving is on my bucket list.,3 class
273,Break a leg,A saying used to wish someone good luck,Break a leg on your audition today!,3 class
274,Backseat driver,A person who gives unwanted advice or criticism,My mom is always a backseat driver when my dad is driving.,3 class
275,Barking up the wrong tree,To make a mistake or pursue the wrong course of action,"If you think I took your pen, you're barking up the wrong tree.",3 class
276,Behind the scenes,Work or activity that takes place out of sight of the general public,There's a lot of hard work that goes on behind the scenes of a play.,3 class
277,Bird in the hand,Something that is already available and is of value,I think we should take the job offer we have now instead of waiting for a better one. A bird in the hand is worth two in the bush.,3 class
278,Big cheese,A person who has a lot of authority or influence,The CEO is the big cheese of the company.,3 class
279,Big fish in a small pond,A person who has a lot of power or influence in a small group or organization,"He may be the big fish in a small pond here, but in the city he's just another face in the crowd.",3 class
280,Face the music,To accept the consequences of your actions,I knew I had broken the vase and would have to face the music.,3 class
281,Fish out of water,To feel uncomfortable in a new or unfamiliar situation,He felt like a fish out of water at his new school.,3 class
282,Foul play,Dishonest or unfair behavior,The coach suspected foul play when the other team won by a large margin.,3 class
283,Foot in the door,To obtain a small initial opportunity that can lead to greater opportunities in the future,Getting a part-time job at the company was her foot in the door for a future career there.,3 class
284,Full of beans,To be full of energy and enthusiasm,The kids were full of beans after eating cake and ice cream at the party.,3 class
285,Fly off the handle,To become very angry suddenly,He flew off the handle when he saw that his car had been scratched.,3 class
286,Far and wide,Everywhere; over a large area,"The news of the treasure spread far and wide, and many people went searching for it.",3 class
287,Follow in someone's footsteps,To do what someone else has done before; to emulate someone,He wanted to follow in his father's footsteps and become a doctor.,3 class
288,Feather in one's cap,An achievement or honor to be proud of,Winning the spelling bee was a feather in her cap.,3 class
289,Fortune favours the bold,Good things come to those who take risks,"She decided to apply for the scholarship, remembering the saying that fortune favours the bold.",3 class
290,Face the facts,To accept the reality of a situation,He had to face the facts that he didn't have enough money to buy a new bike.,3 class
291,Fit as a fiddle,To be in good physical condition,He was fit as a fiddle and could run a mile without getting tired.,3 class
292,Fine-tooth comb,A thorough search or examination,The detective went through the evidence with a fine-tooth comb to find any clues.,3 class
293,Flat as a pancake,Completely flat,The tire was flat as a pancake and needed to be replaced.,3 class
294,For good measure,As an extra precaution or to make sure something is done well,She added a little more salt for good measure.,3 class
295,Fork in the road,A point where one must make a decision that will determine the future course of events,He came to a fork in the road and had to decide which path to take.,3 class
296,Fruit of one's labour,The results of one's hard work,The beautiful garden was the fruit of her labor.,3 class
297,First things first,Prioritize what needs to be done,"She knew that she needed to finish her homework first, so she could go out and play.",3 class
298,Free as a bird,To be free and unconstrained,"The bird flew off into the sky, free as a bird.",3 class
299,From the horse's mouth,Information received directly from the source,"She heard the news from the horse's mouth, so she knew it was true.",3 class
300,Full steam ahead,To proceed with great energy and enthusiasm,The team was ready to go full steam ahead to finish the project on time.,3 class
301,Fortune teller,Someone who claims to predict the future,The fortune teller said she saw a trip to a foreign country in his future.,3 class
302,Fire in the belly,A strong motivation or desire to succeed,He had a fire in the belly to become a successful businessman.,3 class
303,Dance of the leaves,The swaying or rustling of leaves,The dance of the leaves in the wind was mesmerizing.,3 class
304,Dark clouds,Something ominous or threatening,The dark clouds of war were looming on the horizon.,3 class
305,Diamond in the rough,Someone or something with great potential that is not yet refined,"John may be a diamond in the rough, but with some guidance, he could be a great artist.",3 class
306,Dragon's breath,Hot or spicy food or drink,This soup has a dragon's breath! It's too spicy for me.,3 class
307,Dream world,A state of imagination or fantasy,The book took me to a dream world of adventure and magic.,3 class
308,Dress rehearsal,A practice session before the actual event,The actors did a dress rehearsal before the play to make sure everything was perfect.,3 class
309,Driving force,A powerful motivator or factor,Passion is the driving force behind many great accomplishments.,3 class
310,Duck and cover,To protect oneself from danger,The teacher told the students to duck and cover during the earthquake drill.,3 class
311,Dust bunny,A ball of dust and lint,The corners of the room were filled with dust bunnies.,3 class
312,Dust off the cobwebs,To refresh or renew something that has been neglected,"After a long winter, it's time to dust off the cobwebs and clean the house.",3 class
313,Dying embers,Something that is fading away or coming to an end,The dying embers of the fire cast a warm glow in the room.,3 class
314,Dynamite in a small package,Someone or something that is small but powerful,"Although she was only five feet tall, she was a dynamite in a small package on the basketball court.",3 class
315,Dancing flames,"The movement of flames, often in a fire",The dancing flames of the campfire were mesmerizing.,3 class
316,Dagger eyes,"An intense, hostile, or threatening stare",The boy gave his sister dagger eyes when she took the last cookie.,3 class
317,Dark horse,A person or thing that is relatively unknown or has hidden talents,"The new student turned out to be a dark horse, surprising everyone with his intelligence and wit.",3 class
318,Daylight robbery,To be charged a ridiculously high price,I can't believe they charged me $20 for a sandwich! That's daylight robbery!,3 class
319,Diamond in the sky,"A star, especially a bright one",The diamond in the sky twinkled above us all night long.,3 class
320,Dog days,A period of hot and humid weather,The dog days of summer are always the hottest.,3 class
321,Donkey work,"Boring, repetitive or menial work",Cleaning the kitchen is always the donkey work in our house.,3 class
322,Door to door,A method of going from one place to another,The salesman went door to door selling his products.,3 class
323,Double-edged sword,Something that can have both positive and negative effects,"Technology is a double-edged sword; it can make our lives easier, but it can also be addictive and isolating.",3 class
324,Down in the dumps,Feeling sad or depressed,"After losing the game, the team was down in the dumps.",3 class
325,Dress to kill,To dress in a way that attracts attention,She always dresses to kill when she goes out with her friends.,3 class
326,Drop in the bucket,A small amount in comparison to what is needed,"Donating $10 to the charity was just a drop in the bucket, but every little bit helps.",3 class
114,A bed of roses,An easy and comfortable situation,"I thought that being a YouTuber would be a bed of roses, but it's actually a lot of work.",4 class
115,A fish out of water,To feel uncomfortable or out of place in a new situation,"On his first day of school, he felt like a fish out of water.",4 class
116,A flash in the pan,To have a brief moment of success that doesn't last long,"The pop star had a hit song that was a flash in the pan, but she was never able to replicate that success.",4 class
117,A piece of cake,To be very easy,"Don't worry, the test is a piece of cake. You'll do great.",4 class
118,All ears,To be ready and eager to listen,"When the teacher started talking about dinosaurs, the students were all ears.",4 class
119,All thumbs,To be clumsy or awkward,She's all thumbs when it comes to using chopsticks.,4 class
120,Apple of my eye,Someone who is cherished and loved above all others,My little sister is the apple of my eye.,4 class
121,Barking up the wrong tree,To pursue the wrong course of action,"If you think the answer is in the back of the book, you're barking up the wrong tree.",4 class
122,Birds of a feather flock together,People with similar interests or backgrounds tend to stick together,"All of her friends are into video games, but she's more of an outdoorsy type. Birds of a feather flock together, I guess.",4 class
123,Bite off more than you can chew,To take on more than you can handle,"I volunteered to organize the school talent show, but I think I may have bitten off more than I can chew.",4 class
124,Break a leg,To wish someone good luck,Break a leg at your dance recital tonight!,4 class
125,Butterflies in my stomach,To feel nervous or anxious,She had butterflies in her stomach before her first piano recital.,4 class
126,Cat got your tongue,To be unable to speak or answer,"The teacher called on her to answer the question, but she just stood there like a cat had her tongue.",4 class
127,Cross that bridge when you come to it,"To deal with a problem when it arises, not beforehand","I'm not sure how we'll pay for college yet, but we'll cross that bridge when we come to it.",4 class
128,Curiosity killed the cat,Being too curious can get you into trouble,"When she asked too many questions about the surprise party, her friend warned her, ""Curiosity killed the cat.""",4 class
129,Don't count your chickens before they hatch,To not assume that something will happen before it actually does,"I know you're excited for your birthday party, but don't count your chickens before they hatch.",4 class
130,Don't cry over spilled milk,To not worry about something that can't be changed,"When she dropped her ice cream, her mom told her not to cry over spilled milk.",4 class
131,Don't judge a book by its cover,To not make assumptions about someone based on their appearance,"He may look like a tough guy, but you shouldn't judge a book by its cover.",4 class
132,Drop in the bucket,A small and insignificant amount compared to what is needed,The donation was a drop in the bucket compared to the cost of the new playground.,4 class
133,A maze of options,A complicated situation with many choices,Choosing a new book to read can be a maze of options.,4 class
134,A mountain of homework,A large amount of work to do,"After being absent for a week, she came back to school with a mountain of homework.",4 class
135,A needle in a haystack,Something that is difficult to find or locate,Trying to find her lost earring in the sand was like looking for a needle in a haystack.,4 class
136,A storm of emotions,Strong and intense feelings,"When her dog died, she was overcome with a storm of emotions.",4 class
137,A window of opportunity,A limited time frame to take advantage of something,"If you want to try out for the school play, now is your window of opportunity.",4 class
138,Biting off more than you can chew,To take on more than you can handle,"I agreed to babysit three toddlers, but now I realize I may have bitten off more than I can chew.",4 class
139,Catching a cold,To become sick,She caught a cold after forgetting to wear a jacket in the rain.,4 class
140,Dancing on thin ice,To be taking a risk that could have negative consequences,She knew that lying to her parents was like dancing on thin ice.,4 class
141,Don't put all your eggs in one basket,To not rely on just one thing for success,"If you want to be a professional athlete, don't put all your eggs in one basket.",4 class
142,Don't rock the boat,To not cause trouble or stir up controversy,He decided not to speak up about the unfair rule because he didn't want to rock the boat.,4 class
143,Down the rabbit hole,To become lost in a confusing or strange situation,"When she started exploring the internet, she fell down the rabbit hole of conspiracy theories.",4 class
144,Finding a needle in a haystack,To find something that is difficult to locate,Trying to find her lost necklace in the park was like finding a needle in a haystack.,4 class
145,Flying high,To be feeling happy and confident,"After receiving a good grade on her test, she was flying high.",4 class
146,Friends in low places,To have friends who are not respected or successful,His friends were all troublemakers and losers - he had friends in low places.,4 class
147,Golden opportunity,A chance for great success or achievement,Getting accepted into a prestigious college was a golden opportunity for her.,4 class
148,Hammer it out,To work together to find a solution,"The two friends had a disagreement, but they were able to hammer it out and remain friends.",4 class
149,Head in the clouds,To be unaware of what is happening in the real world,He always had his head in the clouds and forgot to do his homework.,4 class
150,Hit the nail on the head,To be exactly right,"When she guessed the correct answer, her teacher told her she had hit the nail on the head.",4 class
151,In the driver's seat,To be in control of a situation,"After studying hard for the test, she felt like she was in the driver's seat.",4 class
152,Jumping for joy,To be very happy and excited,"When she found out she won the raffle, she was jumping for joy.",4 class
153,Knock it out of the park,To do something extremely well,"When she sang her solo, she knocked it out of the park.",4 class
154,Life is a journey,Life is like a trip or adventure with different experiences,Life is a journey with many ups and downs.,4 class
155,A light in the darkness,A sign of hope or guidance during a difficult time,"After the storm knocked out the power, the flashlight was a light in the darkness.",4 class
156,A little ray of sunshine,A person or thing that brings happiness or positivity,"Her little brother was always a little ray of sunshine, even on gloomy days.",4 class
157,A red flag,A warning sign,"When she saw his grades dropping, it was a red flag that he needed help.",4 class
158,All ears,To be ready and willing to listen,"When the teacher asked if anyone had questions, the students were all ears.",4 class
159,All in the same boat,To be in the same difficult situation as others,"When the power went out, everyone in the neighborhood was all in the same boat.",4 class
160,Apple of my eye,Something or someone cherished above all others,Her grandmother was the apple of her eye.,4 class
161,As busy as a bee,To be very busy and productive,"She was as busy as a bee, finishing all her homework and cleaning her room.",4 class
162,As cool as a cucumber,To remain calm and composed in a stressful situation,"When the fire alarm went off, she was as cool as a cucumber and led her classmates outside.",4 class
163,As easy as pie,To be very simple or easy to do,"After learning how to ride her bike, it was as easy as pie.",4 class
164,As light as a feather,To be very light in weight,"When she picked up the small bird, it was as light as a feather.",4 class
165,As quiet as a mouse,To be very quiet,"During the game of hide and seek, she was as quiet as a mouse so she wouldn't be found.",4 class
166,At a snail's pace,To move very slowly,"During the hike, her little brother was walking at a snail's pace.",4 class
167,Barking up the wrong tree,To make a mistake by focusing on the wrong thing or person,"When he accused his sister of eating the cookies, he was barking up the wrong tree - the dog had eaten them.",4 class
168,Break a leg,A way to wish someone good luck,"Before her dance recital, her mom told her to break a leg.",4 class
169,Butterflies in my stomach,To feel nervous or excited about something,"Before the big game, she had butterflies in her stomach.",4 class
170,Clear as a bell,To be very clear or easy to understand,"After explaining the directions again, her teacher made it clear as a bell.",4 class
171,Cold feet,To become hesitant or scared before doing something,"When she saw the rollercoaster, she got cold feet and decided not to ride.",4 class
172,Cry over spilled milk,To be upset over something that cannot be changed or undone,"After accidentally breaking the vase, her mom told her not to cry over spilled milk.",4 class
173,Don't judge a book by its cover,To not form an opinion about something or someone based on appearance,"The new student looked different, but her classmates learned to not judge a book by its cover.",4 class
174,Eager beaver,A person who is very enthusiastic and eager to help,"When the teacher asked for volunteers, she was the eager beaver who raised her hand first.",4 class
175,Elephant in the room,An obvious problem or issue that is not being addressed,"When no one wanted to talk about the missing supplies, it was like an elephant in the room.",4 class
176,A rollercoaster ride,A situation or experience that has many ups and downs,Starting middle school was a rollercoaster ride of emotions for her.,4 class
