S.No.,Class / Age,Hyperbole,Meaning,Example Sentence
267,3 class,Best feeling in the world,The most joyful or satisfying feeling,The best feeling in the world is knowing that you are loved.
268,3 class,Best pizza in the world,The most delicious pizza in the world,The pizza from Italy is considered the best pizza in the world.
269,3 class,Best job ever,The most enjoyable or fulfilling job ever had,Being a professional athlete would be the best job ever.
270,3 class,Best song ever,The most iconic or memorable song ever recorded,Bohemian Rhapsody by Queen is considered the best song ever.
271,3 class,Best party ever,The most fun or memorable party ever attended,The best party ever was my friend's pool party last summer.
272,3 class,Best beach ever,The most beautiful or peaceful beach ever visited,The best beach ever is the one I visited in Hawaii.
273,3 class,Best adventure ever,The most exciting or thrilling adventure ever experienced,White water rafting was the best adventure ever.
274,3 class,Best in the business,The most skilled or successful person in the industry,He is the best in the business when it comes to software development.
275,3 class,Best workout ever,The most effective or satisfying workout ever done,The best workout ever was when I finished my first 5K.
276,3 class,Best meal ever,The most delicious or satisfying meal ever eaten,The steak I had at the fancy restaurant was the best meal ever.
277,3 class,Best shoes ever,The most comfortable or stylish shoes ever worn,These sneakers are the best shoes ever.
278,3 class,Great as an elephant,Very large,The elephant in the zoo was great as an elephant.
279,3 class,Great as a mountain,Huge or impressive,"The mountain was great as a mountain, standing tall and proud."
280,3 class,Great as the sun,Bright and powerful,"The sun was shining great as the sun, lighting up the entire sky."
281,3 class,Great as the ocean,Vast and deep,"The ocean was great as the ocean, stretching out as far as the eye could see."
282,3 class,Great as a lion,Mighty and strong,"The lion roared great as a lion, announcing its presence to the world."
283,3 class,Great as a bear,Powerful and intimidating,"The bear was great as a bear, making me tremble with fear."
284,3 class,Great as a whale,Majestic and impressive,"The whale leapt out of the water great as a whale, leaving me in awe."
285,3 class,Great as a castle,Magnificent and imposing,"The castle was great as a castle, standing tall and proud against the sky."
286,3 class,Great as a tree,Strong and sturdy,"The tree was great as a tree, with roots that went deep into the ground."
287,3 class,Great as a sword,Sharp and deadly,"The sword gleamed great as a sword, ready to do battle."
288,3 class,Great as a storm,Powerful and destructive,"The storm raged great as a storm, tearing everything in its path."
289,3 class,Great as a champion,Skilled and unbeatable,"The athlete was great as a champion, winning every competition she entered."
290,3 class,Great as a king,Regal and powerful,"The king ruled great as a king, with his subjects bowing down to him."
291,3 class,Great as a rocket,Fast and powerful,"The rocket soared great as a rocket, reaching incredible speeds."
292,3 class,Great as a tornado,Destructive and unstoppable,"The tornado swept through the town great as a tornado, leaving destruction in its wake."
293,3 class,Great as a dragon,Majestic and fearsome,"The dragon swooped down great as a dragon, breathing fire and striking fear into everyone's hearts."
294,3 class,Great as a comet,Fast and bright,"The comet streaked across the sky great as a comet, lighting up the night with its brilliance."
295,3 class,Great as a forest,Vast and dense,"The forest was great as a forest, with trees stretching out as far as the eye could see."
296,3 class,Great as a storm cloud,Dark and foreboding,"The storm cloud loomed great as a storm cloud, casting a shadow over the entire landscape."
297,3 class,Great as a hero,Brave and selfless,"The firefighter was great as a hero, risking his life to save others."
298,3 class,Great as a phoenix,Majestic and mythical,"The phoenix rose from the ashes great as a phoenix, with its feathers glowing in the sunlight."
299,3 class,Great as a volcano,Powerful and explosive,"The volcano erupted great as a volcano, spewing lava and ash into the sky."
300,3 class,Great as a monster,Terrifying and monstrous,"The monster lurched forward great as a monster, ready to devour everything in its path."
301,3 class,Great as a roller coaster,Thrilling and exciting,"The roller coaster sped down the track great as a roller coaster, sending my heart racing with excitement."
302,3 class,Great as a canyon,Deep and awe-inspiring,"The canyon stretched out before me great as a canyon, with sheer walls that seemed to touch the sky."
303,3 class,Scared stiff,Extremely afraid or terrified,"When the thunderstorm started, the dog was scared stiff and wouldn't stop shaking."
304,3 class,Shaking like a leaf,Trembling with fear or nervousness,The little boy was shaking like a leaf when he saw the spider crawling towards him.
305,3 class,Heart in my throat,Feeling extreme fear or nervousness,I was so nervous before the speech that my heart was in my throat the whole time.
306,3 class,Jumping out of my skin,Extremely startled or scared,"When the cat suddenly jumped out of the bushes, I felt like I was jumping out of my skin."
307,3 class,Scared out of my wits,Extremely frightened or terrified,"When the bear appeared out of nowhere, I was scared out of my wits and froze in place."
308,3 class,Quaking in my boots,Trembling with fear or anxiety,I was quaking in my boots when I heard the loud bang in the middle of the night.
309,3 class,Frightened to death,Extremely frightened or scared,The little girl was frightened to death when she heard the scary story at the campfire.
310,3 class,Scared to death,Extremely scared or frightened,I was scared to death when the car almost hit me while I was crossing the street.
311,3 class,Trembling in fear,Shaking with fear or terror,The small animal was trembling in fear when it saw the predator approaching.
312,3 class,Terrified beyond belief,Extremely terrified or scared,The hiker was terrified beyond belief when he heard the loud growl of the bear.
313,3 class,Petrified with fear,Completely frozen with fear,"When the snake appeared out of nowhere, I was petrified with fear and couldn't move."
314,3 class,Running scared,Feeling extremely scared or frightened,The dog was running scared when it heard the loud noise from the fireworks.
315,3 class,Scared to death,Extremely scared or frightened,I was scared to death when I saw the spider crawling towards me.
316,3 class,Scared as a rabbit,Extremely scared or timid,The little boy was scared as a rabbit when he saw the big dog approaching.
317,3 class,Scared silly,Extremely scared or frightened,The little girl was scared silly when she heard the ghost story at the sleepover.
318,3 class,Terrified out of my mind,Extremely terrified or scared,I was terrified out of my mind when I heard the loud noise coming from the basement.
319,3 class,Scared out of my skin,Extremely scared or startled,I was scared out of my skin when the cat suddenly jumped out from behind the couch.
320,3 class,Shivering with fear,Trembling with fear or anxiety,The small animal was shivering with fear when it saw the predator approaching.
321,3 class,Running for my life,Trying to escape a dangerous or scary situation,"When the big dog started chasing me, I ran for my life."
322,3 class,Frightened half to death,Extremely frightened or scared,The little boy was frightened half to death when he saw the monster under his bed.
323,3 class,Scared like a deer in headlights,Extremely scared or paralyzed with fear,The little girl was scared like a deer in headlights when she saw the big spider in her room.
324,3 class,Scared witless,Extremely scared or terrified,"When the lightning struck, I was scared witless and ran inside."
325,3 class,Shaking in my boots,Trembling with fear or anxiety,The small animal was shaking in its boots when it saw the predator approaching.
326,3 class,As good as gold,Well-behaved or trustworthy,My little brother is as good as gold when he's at home.
327,3 class,Good as new,In perfect condition or fully restored,"After cleaning the toy car, it looked as good as new."
328,3 class,Good as it gets,The best possible,This is the best pizza in town. It's as good as it gets.
329,3 class,Good enough to eat,Appealing or attractive,"The cupcakes she made were decorated so beautifully, they were good enough to eat."
330,3 class,Good grief,Expression of surprise or shock,Good grief! Did you see that huge spider?
331,3 class,Good as gone,Disappeared or lost,"When the wind caught my kite, it was as good as gone."
332,3 class,Goodness gracious,Expression of surprise or amazement,"Goodness gracious, I can't believe how fast you can run!"
333,3 class,Good to go,Ready or prepared,We have all the supplies we need for the picnic. We're good to go!
334,3 class,Good Samaritan,A person who helps others in need,The man who found my lost dog was a real Good Samaritan.
335,3 class,Good vibes,Positive energy or atmosphere,"The party had such good vibes, everyone was happy and dancing."
336,3 class,Good as a laugh,Amusing or entertaining,"That movie was so good as a laugh, I laughed the whole time."
337,3 class,Good riddance,Relief that someone or something is gone,"When my annoying neighbor moved away, it was good riddance."
338,3 class,Good fortune,Good luck or success,Winning the lottery was good fortune for my family.
339,3 class,Good shot,A skilled or successful attempt,You made a good shot in basketball when you scored that three-pointer.
340,3 class,Good-natured,Friendly and kind,The old man was always good-natured with the children in the park.
341,3 class,Good for nothing,Useless or unhelpful,My old phone was good for nothing after it broke.
342,3 class,Good grief,Expression of surprise or shock,Good grief! Did you see that huge spider?
343,3 class,Good for a song,Inexpensive or cheap,I found this beautiful vase at the flea market for a song.
344,3 class,Good as a fiddle,In good health or condition,"After his check-up, the doctor said my grandpa was as good as a fiddle."
345,3 class,Good hearted,Kind and generous,The woman at the animal shelter was a good-hearted person who loved animals.
346,3 class,Good news travels fast,Positive information spreads quickly,"When the school announced the field trip, good news traveled fast."
347,3 class,Good deal,A favorable or advantageous agreement,I got a good deal on my new bike.
348,3 class,Good old days,A nostalgic term for a happy time in the past,My grandparents always talk about the good old days when they were young.
349,3 class,Good for your health,Beneficial or healthy,Eating vegetables is good for your health.
350,3 class,Good to the last drop,Very enjoyable or satisfying,"The hot cocoa was so good, I drank it all and enjoyed it to the last drop."
351,3 class,Good as pie,Easy or effortless,"With practice, math can be as good as pie."
352,3 class,Good taste,A sense of what is aesthetically pleasing,The artist had good taste in color and composition.
353,3 class,Good vibrations,A positive or harmonious feeling,The audience felt the good vibrations when the band started playing.
117,4 class,She's crying her eyes out.,Crying very intensely.,"When she lost her favorite toy, she started crying her eyes out."
118,4 class,He's crying like a baby.,Crying uncontrollably.,"When he got a scrape on his knee, he started crying like a baby."
119,4 class,It made me want to cry.,Very emotional or touching.,"When I saw the puppy in the animal shelter, it made me want to cry."
120,4 class,She's crying a river.,Crying a lot of tears.,"When her cat ran away, she cried a river."
121,4 class,He's crying his heart out.,Crying very intensely.,"When he didn't get the part in the school play, he started crying his heart out."
122,4 class,It's enough to make you cry.,Very sad or disappointing.,The fact that so many people are hungry is enough to make you cry.
123,4 class,She's crying a waterfall.,Crying a lot of tears.,"When she didn't get invited to the birthday party, she cried a waterfall."
124,4 class,He's crying a bucket.,Crying a lot of tears.,"When he lost his favorite toy, he cried a bucket."
125,4 class,It made me cry like a baby.,Very emotional or touching.,The movie was so sad that it made me cry like a baby.
126,4 class,She's crying her heart and soul out.,Crying very intensely.,"When she didn't get picked for the kickball team, she started crying her heart and soul out."
127,4 class,He's crying his eyes dry.,Crying so much that there are no more tears left.,"When his best friend moved away, he cried his eyes dry."
128,4 class,It's enough to make you cry your eyes out.,Very sad or disappointing.,The fact that so many animals are mistreated is enough to make you cry your eyes out.
129,4 class,She's crying a storm.,Crying a lot of tears.,"When she got in trouble with her teacher, she cried a storm."
130,4 class,He's crying his eyes into a puddle.,Crying a lot of tears.,"When his sister took his toy, he cried his eyes into a puddle."
131,4 class,It's a cry for help.,A signal that someone needs assistance or support.,"When he was feeling sad and alone, it was a cry for help."
132,4 class,She's crying her soul out.,Crying very intensely.,"When she didn't get a good grade on her test, she started crying her soul out."
133,4 class,He's crying like it's the end of the world.,Crying very intensely.,"When he broke his favorite toy, he started crying like it was the end of the world."
134,4 class,It's enough to make you cry your heart out.,Very sad or disappointing.,The fact that so many people are sick is enough to make you cry your heart out.
135,4 class,She's crying a lake.,Crying a lot of tears.,"When she got hurt playing outside, she cried a lake."
136,4 class,He's crying his eyes out like a faucet.,Crying a lot of tears.,"When he got a bad grade on his test, he cried his eyes out like a faucet."
137,4 class,It's raining cats and dogs.,Raining very heavily.,I can't go outside because it's raining cats and dogs.
138,4 class,He's as fast as lightning.,Very fast.,"When he runs, he's as fast as lightning."
139,4 class,She's as quiet as a mouse.,Very quiet.,"When she's in the library, she's as quiet as a mouse."
140,4 class,It's as easy as pie.,Very easy.,Solving this math problem is as easy as pie.
141,4 class,He's as stubborn as a mule.,Very stubborn.,"When he doesn't want to do something, he's as stubborn as a mule."
142,4 class,She's as pretty as a picture.,Very pretty.,"When she dresses up for a party, she's as pretty as a picture."
143,4 class,It's as hot as the sun.,Very hot.,"When we went to the beach, it was as hot as the sun."
144,4 class,He's as brave as a lion.,Very brave.,"When he sees a spider, he's as brave as a lion."
145,4 class,She's as sweet as sugar.,Very kind and pleasant.,"When she gives compliments, she's as sweet as sugar."
146,4 class,It's as cold as ice.,Very cold.,"When we went skiing, it was as cold as ice."
147,4 class,He's as strong as an ox.,Very strong.,"When he lifts weights, he's as strong as an ox."
148,4 class,She's as smart as a whip.,Very intelligent.,"When she does math, she's as smart as a whip."
149,4 class,It's as big as a house.,Very large.,"When we saw the elephant, it was as big as a house."
150,4 class,He's as tall as a tree.,Very tall.,"When he stands up straight, he's as tall as a tree."
151,4 class,She's as light as a feather.,Very light.,"When she jumps on the trampoline, she's as light as a feather."
152,4 class,It's as smooth as silk.,Very smooth.,"When we petted the cat, its fur was as smooth as silk."
153,4 class,He's as quiet as a church mouse.,Very quiet.,"When he's in the church, he's as quiet as a church mouse."
154,4 class,She's as happy as a clam.,Very happy.,"When she gets ice cream, she's as happy as a clam."
155,4 class,It's as loud as a lion's roar.,Very loud.,"When the thunderstorm hit, it was as loud as a lion's roar."
156,4 class,He's as crazy as a loon.,Very crazy.,"When he tells jokes, he's as crazy as a loon."
157,4 class,She's as busy as a bee.,Very busy.,"When she's doing her homework, she's as busy as a bee."
158,4 class,It's as red as a tomato.,Very red.,"When we picked the apple, it was as red as a tomato."
159,4 class,He's as sly as a fox.,Very sly.,"When he wants to play a prank, he's as sly as a fox."
160,4 class,,,
161,4 class,It's colder than the North Pole.,Extremely cold.,I don't want to go outside because it's colder than the North Pole.
162,4 class,He gave me a cold stare.,A distant or unfriendly look.,"When I told him the bad news, he gave me a cold stare."
163,4 class,I'm freezing to death.,Very cold.,I forgot my coat and now I'm freezing to death.
164,4 class,It's so cold that my nose hairs are freezing.,Extremely cold.,It's so cold outside that my nose hairs are freezing.
165,4 class,She's giving me the cold shoulder.,Ignoring or avoiding someone.,"Ever since our fight, she's been giving me the cold shoulder."
166,4 class,He's as cold as ice.,Emotionally distant or unfeeling.,"Even when I told him about my problems, he was as cold as ice."
167,4 class,It's as cold as a witch's heart.,Very cold.,"When we went camping in the winter, it was as cold as a witch's heart."
168,4 class,She has a cold heart.,Emotionally unfeeling or uncaring.,"Even when her friend was going through a tough time, she had a cold heart."
169,4 class,My feet are ice cubes.,Very cold feet.,"After playing in the snow, my feet felt like ice cubes."
170,4 class,He's a cold fish.,Emotionally distant or unfeeling.,"Even when his team won the championship, he was a cold fish."
171,4 class,The room is as cold as a refrigerator.,Very cold.,"When I walked into the room, it was as cold as a refrigerator."
172,4 class,She's as cold as a snowman.,Emotionally distant or unfeeling.,"Even when her family is celebrating, she's as cold as a snowman."
173,4 class,The ice is as cold as death.,Very cold ice.,"When we went ice skating, the ice was as cold as death."
174,4 class,He's as cold as a cucumber.,Emotionally unflappable or calm.,"Even when he's under a lot of pressure, he's as cold as a cucumber."
175,4 class,It's as cold as a corpse.,Very cold.,"When we went on a winter hike, it was as cold as a corpse."
176,4 class,She's as cold as a frozen lake.,Emotionally distant or unfeeling.,"Even when her best friend is upset, she's as cold as a frozen lake."
177,4 class,It's as cold as a polar bear's nose.,Very cold.,"When we went skiing, it was as cold as a polar bear's nose."
178,4 class,He's as cold as a stone.,Emotionally unfeeling or uncaring.,"Even when his girlfriend broke up with him, he was as cold as a stone."
179,4 class,It's as cold as the bottom of the ocean.,Very cold.,"When we went scuba diving, it was as cold as the bottom of the ocean."
180,4 class,She's as cold as winter wind.,Emotionally distant or unfeeling.,"Even when her brother is in trouble, she's as cold as winter wind."
181,4 class,It's as bright as the sun.,Very bright.,"When I turned on the lamp, it was as bright as the sun."
182,4 class,The lightbulb is as hot as the sun.,Very hot lightbulb.,"When I changed the lightbulb, it was as hot as the sun."
183,4 class,The room is as bright as day.,Very bright.,"When the curtains are open, the room is as bright as day."
184,4 class,The flashlight is a million watts.,Extremely bright flashlight.,"When we went camping, the flashlight was a million watts."
185,4 class,The light is blinding.,Extremely bright.,"When I looked directly at the light, it was blinding."
186,4 class,The lamp is a supernova.,Extremely bright lamp.,"When I turned on the lamp, it was a supernova."
187,4 class,The sun is a thousand candles.,Very bright sun.,"When the sun is shining, it's like a thousand candles."
188,4 class,The light is a laser beam.,Extremely focused and intense light.,"When I turned on the light, it was like a laser beam."
189,4 class,The candle is a beacon.,Very bright candle.,"When we had a power outage, the candle was a beacon."
190,4 class,The light is a spotlight.,Extremely focused and intense light.,"When I turned on the light, it was like a spotlight."
191,4 class,The light is like a thousand stars.,Very bright.,"When I turned on the light, it was like a thousand stars."
192,4 class,The light is as white as snow.,Very bright and white.,"When I turned on the light, it was as white as snow."
193,4 class,The light is like a thousand lightning bolts.,Very bright and intense.,"When I turned on the light, it was like a thousand lightning bolts."
194,4 class,The light is a hundred lighthouses.,Extremely bright light.,"When I turned on the light, it was like a hundred lighthouses."
195,4 class,The light is as clear as crystal.,Very clear and bright.,"When I turned on the light, it was as clear as crystal."
196,4 class,The light is a thousand suns.,Extremely bright light.,"When I turned on the light, it was like a thousand suns."
197,4 class,The light is as bright as the stars.,Very bright.,"When I turned on the light, it was as bright as the stars."
198,4 class,The light is as pure as snow.,Very clear and bright.,"When I turned on the light, it was as pure as snow."
199,4 class,The light is a million lumens.,Extremely bright light.,"When I turned on the light, it was a million lumens."
200,4 class,The light is a thousand fireworks.,Extremely bright and colorful light.,"When I turned on the light, it was like a thousand fireworks."
201,4 class,The light is as radiant as the sun.,Very bright and radiant.,"When I turned on the light, it was as radiant as the sun."
202,4 class,The light is as bright as a diamond.,Very bright and clear.,"When I turned on the light, it was as bright as a diamond."
203,4 class,Hotter than the sun,Extremely hot,"It's so hot outside today, it feels like I'm standing on the surface of the sun."
204,4 class,Hotter than a jalapeno,Very spicy,"This salsa is so hot, it's like eating a whole jalapeno in one bite."
205,4 class,Hotter than a sauna,Very warm,"It's so hot in this room, it feels like a sauna in here."
206,4 class,Hotter than a firecracker,Very intense,"The argument between the two friends was so hot, it was like a firecracker exploding."
207,4 class,Hotter than a pistol,Very angry,My mom was hotter than a pistol when she found out I broke the vase.
208,4 class,Hotter than a frying pan,Very angry,My boss was hotter than a frying pan when he saw the mistake on the report.
209,4 class,Hotter than a summer day,Very warm,"It's so hot today, it feels like a summer day in the middle of winter."
210,4 class,Hotter than a matchstick,Very angry,"When the coach found out his team lost the game, he was hotter than a matchstick."
211,4 class,Hotter than a barbecue grill,Very warm,"It's so hot outside today, it feels like standing next to a barbecue grill."
212,4 class,Hotter than a steaming kettle,Very angry,My teacher was hotter than a steaming kettle when she caught me cheating on the test.
213,4 class,Hotter than a pepperoni pizza,Very warm,"It's so hot in this room, it feels like sitting inside a pepperoni pizza oven."
214,4 class,Hotter than a habanero pepper,Very spicy,"This salsa is so hot, it's like eating a habanero pepper with every bite."
215,4 class,Hotter than a blowtorch,Very intense,The pressure to finish the project on time was hotter than a blowtorch.
216,4 class,Hotter than a red pepper,Very spicy,"This chili is so hot, it's like eating a red pepper in one bite."
217,4 class,Hotter than a furnace,Very warm,"It's so hot in here, it feels like standing next to a furnace."
218,4 class,Hotter than a haboob,Very warm,"It's so hot outside, it feels like a haboob is blowing through the city."
219,4 class,Hotter than a habanero,Very spicy,"This hot sauce is so hot, it's like eating a habanero with every spoonful."
220,4 class,Hotter than a scorching desert,Very warm,"It's so hot outside, it feels like walking through a scorching desert."
221,4 class,Hotter than a habanero chili,Very spicy,"This salsa is so hot, it's like eating a habanero chili with every bite."
222,4 class,Hotter than a sauna in Death Valley,Extremely hot,"It's so hot outside, it feels like a sauna in Death Valley."
223,4 class,Hotter than a jalapeno pepper,Very spicy,"This hot sauce is so hot, it's like eating a jalapeno pepper with every spoonful."
224,4 class,Hotter than a cup of coffee,Very warm,"It's so hot in this room, it feels like sitting inside a cup of hot coffee."
225,4 class,Hotter than a pepper spray,Very intense,The tension in the room was hotter than a pepper spray.
226,4 class,Hotter than a plate of spicy wings,Very spicy,"This hot sauce is so hot, it's like eating a plate of spicy wings with every spoonful."
1,5 class,I'm starving to death!,Exaggeration of hunger.,"I didn't eat breakfast this morning, and now I'm starving to death!"
2,5 class,She cried a river of tears.,Exaggeration of tears.,"When her pet hamster died, she cried a river of tears."
3,5 class,He's got eyes in the back of his head.,Exaggeration of awareness.,The teacher always catches us misbehaving; he's got eyes in the back of his head.
4,5 class,That backpack weighs a ton.,Exaggeration of weight.,My backpack is so heavy; it weighs a ton!
5,5 class,I've been waiting for hours!,Exaggeration of time.,We've been waiting for the bus for hours!
6,5 class,This book is as old as the hills.,Exaggeration of age.,My grandparents have a book that's as old as the hills.
7,5 class,She's as quiet as a mouse.,Exaggeration of quietness.,"In class, she's as quiet as a mouse."
8,5 class,He's a walking encyclopedia.,Exaggeration of knowledge.,"Whenever we have a question in class, he knows the answer; he's a walking encyclopedia."
9,5 class,I could sleep for a week.,Exaggeration of tiredness.,I had so much homework last night that I'm exhausted; I could sleep for a week.
10,5 class,He's as fast as lightning.,Exaggeration of speed.,"In track and field, he's as fast as lightning."
11,5 class,She's a shining star.,Exaggeration of talent.,"In the school play, she was the lead role and shone like a shining star."
12,5 class,That test was a piece of cake.,Exaggeration of easiness.,"I studied hard for the test, but it was a piece of cake."
13,5 class,He's got a heart of gold.,Exaggeration of kindness.,He volunteers at the animal shelter every weekend; he's got a heart of gold.
14,5 class,The water is freezing cold.,Exaggeration of coldness.,"I went swimming in the lake, and the water was freezing cold."
15,5 class,The line for the amusement park ride was a mile long.,Exaggeration of length.,The line for the new roller coaster was a mile long.
16,5 class,I'm drowning in homework.,Exaggeration of amount.,I have so much homework tonight that I'm drowning in it.
17,5 class,The music was so loud that my ears are ringing.,Exaggeration of volume.,"At the concert, the music was so loud that my ears are still ringing."
18,5 class,The stadium was packed to the rafters.,Exaggeration of fullness.,The stadium was packed to the rafters for the championship game.
19,5 class,I've told you a million times.,Exaggeration of repetition.,I've told you a million times to put your dishes in the dishwasher.
20,5 class,She's as light as a feather.,Exaggeration of weight.,"When I picked her up, she was as light as a feather."
21,5 class,He's a giant among men.,Exaggeration of size.,"In basketball, he's a giant among men."
22,5 class,I'm on top of the world!,Feeling of extreme happiness or success.,"After getting an A on my science project, I'm on top of the world!"
23,5 class,The cake is top-notch.,Extremely high quality or excellence.,This bakery always has top-notch cakes.
24,5 class,He's the top dog in his field.,The most successful or respected person in a particular field.,"In the world of computer science, Bill Gates is the top dog."
25,5 class,That's over the top.,Excessive or unnecessary.,Decorating your house with a thousand Christmas lights is a bit over the top.
26,5 class,She's a top performer.,A person who consistently achieves excellent results.,"In dance class, she's a top performer."
27,5 class,I'm at the top of my game.,Performing at the highest level of one's ability.,"After years of practice, I'm finally at the top of my game."
28,5 class,The view from the top is breathtaking.,The view from the highest point is extremely beautiful.,"When we climbed to the top of the mountain, the view was breathtaking."
29,5 class,He's at the top of his class.,The student with the highest grades or academic performance.,"In his class, he's at the top of the leaderboard."
30,5 class,The concert was a top-notch experience.,An experience of the highest quality or excellence.,The concert was a top-notch experience with amazing music and special effects.
31,5 class,That's the cherry on top.,Something that makes a situation even better.,"Winning the game was great, but getting a trophy was the cherry on top."
32,5 class,She's at the top of her game in basketball.,Performing at the highest level of one's ability in a particular sport.,"In basketball, she's at the top of her game and leads the team to victory."
33,5 class,That's over the top crazy.,Extremely crazy or absurd.,Wearing a giant chicken suit to school is over the top crazy.
34,5 class,The cake is top-shelf quality.,Extremely high quality or excellence.,This bakery always has top-shelf cakes with the best ingredients.
35,5 class,She's a top-notch student.,A student who consistently achieves excellent academic performance.,"In her school, she's known as a top-notch student with straight A's."
36,5 class,I'm on top of the world after the promotion.,Feeling of extreme happiness or success after receiving a promotion.,"After getting promoted to manager, I'm on top of the world!"
37,5 class,That's over the top delicious.,Extremely delicious or tasty.,"This chocolate cake is over the top delicious with rich, creamy frosting."
38,5 class,He's the top athlete in his school.,The most successful or respected athlete in a particular school.,"In his school, he's the top athlete and has won many awards in various sports."
39,5 class,The view from the top is top-notch.,The view from the highest point is of the highest quality or excellence.,"When we climbed to the top of the building, the view was top-notch with a stunning skyline."
40,5 class,She's a top contender for the scholarship.,A person who is likely to receive a scholarship due to their achievements or qualifications.,"With her excellent grades and extracurricular activities, she's a top contender for the scholarship."
41,5 class,"I'm so sad, I could cry a river.",Feeling extremely sad or upset.,"After losing my favorite toy, I'm so sad I could cry a river."
42,5 class,My heart is heavy with sadness.,Feeling deep sorrow or grief.,"After hearing about the tragic news, my heart is heavy with sadness."
43,5 class,He's as sad as a puppy without a bone.,Expressing extreme sadness or disappointment.,"When he lost the championship game, he was as sad as a puppy without a bone."
44,5 class,The news is really sad.,A situation or event that is depressing or sorrowful.,The news of the natural disaster is really sad and devastating.
45,5 class,She's a sad sight to see.,A person who appears unhappy or distressed.,"After breaking up with her boyfriend, she's a sad sight to see with puffy eyes and a frown."
46,5 class,It's a sad day when you lose a friend.,A situation or event that is emotionally difficult or challenging.,It's a sad day when you lose a friend and have to say goodbye.
47,5 class,He's in a sad state of affairs.,A person who is experiencing a difficult or challenging situation.,"After losing his job and getting sick, he's in a sad state of affairs."
48,5 class,She's sad as a wilted flower.,Expressing extreme sadness or disappointment.,"After failing her math test, she's sad as a wilted flower and doesn't want to talk to anyone."
49,5 class,The movie had a sad ending.,A situation or event that evokes sadness or sorrow.,The movie had a sad ending with the main character dying at the end.
50,5 class,She's sad as a clown without a smile.,Expressing extreme sadness or disappointment.,"After her best friend moved away, she's sad as a clown without a smile."
51,5 class,He's a sad sack.,A person who is always unhappy or negative.,He's always complaining and being negative - he's such a sad sack.
52,5 class,That's a sad excuse for a meal.,A situation or event that is unsatisfactory or disappointing.,The cafeteria's food is a sad excuse for a meal with soggy sandwiches and stale chips.
53,5 class,She's as sad as the day is long.,Expressing extreme sadness or disappointment.,"After losing her beloved pet, she's as sad as the day is long."
54,5 class,The painting is a sad reflection of the artist's skill.,A situation or event that is disappointing or unsatisfactory.,The painting is a sad reflection of the artist's skill with uneven brushstrokes and dull colors.
55,5 class,"He's so sad, he's like a raincloud.",Feeling extremely sad or upset.,"After his favorite toy was broken, he's so sad he's like a raincloud."
56,5 class,That's a sad state of affairs.,A situation or event that is difficult or challenging.,The current political situation is a sad state of affairs with corruption and scandal.
57,5 class,She's sad as a lost puppy.,Expressing extreme sadness or disappointment.,"After being rejected from the school play, she's sad as a lost puppy."
58,5 class,I'm so happy I could jump for joy.,Feeling extremely happy or excited.,"After getting an A on my test, I'm so happy I could jump for joy."
59,5 class,My heart is bursting with happiness.,Feeling intense joy or pleasure.,"When I saw my grandparents after a long time, my heart was bursting with happiness."
60,5 class,He's as happy as a clam at high tide.,Expressing extreme happiness or contentment.,"When he got the new video game, he was as happy as a clam at high tide."
61,5 class,The news makes me really happy.,A situation or event that brings joy or pleasure.,The news of my cousin's engagement makes me really happy and excited.
62,5 class,She's a happy camper.,A person who is content or satisfied with their situation.,"After getting her dream job, she's a happy camper and always has a smile on her face."
63,5 class,It's a happy day when you make a new friend.,A situation or event that is positive or enjoyable.,It's a happy day when you make a new friend and have someone to hang out with.
64,5 class,He's in a happy state of mind.,A person who is experiencing positive emotions or feelings.,"After winning the championship game, he's in a happy state of mind."
65,5 class,She's happy as a lark.,Expressing extreme happiness or contentment.,"After getting the puppy she always wanted, she's happy as a lark."
66,5 class,The movie had a happy ending.,A situation or event that evokes joy or pleasure.,The movie had a happy ending with the main character finding true love.
67,5 class,She's happy as a kid in a candy store.,Expressing extreme happiness or excitement.,"When she got to go to Disney World, she was happy as a kid in a candy store."
68,5 class,He's a happy-go-lucky guy.,A person who is carefree or lighthearted.,He never worries about anything - he's such a happy-go-lucky guy.
69,5 class,That's a happy medium.,A situation or event that is satisfactory or balanced.,The temperature in the room is a happy medium - not too hot or too cold.
70,5 class,She's as happy as a pig in mud.,Expressing extreme happiness or contentment.,"After getting a new bike for her birthday, she was as happy as a pig in mud."
71,5 class,The party was a happy affair.,A situation or event that is enjoyable or pleasant.,"The birthday party was a happy affair with balloons, cake, and music."
72,5 class,"He's so happy, he's like a ray of sunshine.",Feeling extremely happy or content.,"After getting a promotion at work, he's so happy he's like a ray of sunshine."
73,5 class,That's a happy thought.,A situation or event that is positive or optimistic.,The idea of going on vacation is a happy thought and something to look forward to.
74,5 class,She's happy as a clam.,Expressing extreme happiness or contentment.,"After finishing her book, she was happy as a clam and didn't want to put it down."
75,5 class,It's a happy coincidence.,A situation or event that is fortunate or lucky.,Running into my old friend was a happy coincidence - we had lost touch for years.
76,5 class,It's as hard as nails.,Very tough or difficult.,"The math problem was as hard as nails, and I had to ask for help."
77,5 class,I've been working hard all day.,Exerting a lot of effort or energy.,I've been working hard all day to finish my project before the deadline.
78,5 class,That test was hard as heck.,Very difficult or challenging.,"The history test was hard as heck, and I studied for hours to prepare."
