id,simile,meaning,example,relevance
304,As funny as a cat chasing a laser pointer,Silly and playful,"The video was as funny as a cat chasing a laser pointer, and it made everyone giggle.",3 class
305,As funny as a monkey in a suit,Ridiculous and amusing,"The photo was as funny as a monkey in a suit, and it made everyone laugh.",3 class
306,As funny as a rubber chicken,Silly or ridiculous,"The toy was as funny as a rubber chicken, and it made the kids laugh.",3 class
307,As funny as a prank call,Clever and amusing,"The joke was as funny as a prank call, and it made everyone chuckle.",3 class
308,As funny as a clown with a red nose,Comical and lighthearted,"The circus was as funny as a clown with a red nose, and it brought joy to everyone who watched.",3 class
309,As funny as a chicken crossing the road,Amusing and entertaining,"The story was as funny as a chicken crossing the road, and it made everyone laugh.",3 class
310,As funny as a clown with big shoes,Comical and silly,"The clown was as funny as a clown with big shoes, and he made everyone giggle.",3 class
311,As funny as a whoopee cushion,Amusing and silly,"The prank was as funny as a whoopee cushion, and it made everyone laugh.",3 class
312,As funny as a pie in the face,Comical and unexpected,"The joke was as funny as a pie in the face, and it made everyone laugh out loud.",3 class
313,As funny as a monkey playing the drums,Amusing and entertaining,"The video was as funny as a monkey playing the drums, and it made everyone smile.",3 class
314,As best as a champion,To perform or be the best possible,"The athlete performed as best as a champion, setting a new world record.",3 class
315,As best as a star performer,To perform exceptionally well,"The singer performed as best as a star performer, wowing the audience with their voice.",3 class
316,As best as a medalist,To achieve the highest level of success,"The student performed as best as a medalist, scoring the highest in the class.",3 class
317,As best as a superhero,To be the most successful or powerful,"The team performed as best as a superhero, winning the championship game.",3 class
318,As best as a king,To have the highest level of authority or power,"The leader ruled as best as a king, making wise decisions for the kingdom.",3 class
319,As best as a shooting star,To achieve success quickly and brilliantly,"The artist's career took off as best as a shooting star, gaining fame and success in a short amount of time.",3 class
320,As best as a race car driver,To perform at the highest level of skill and speed,"The driver performed as best as a race car driver, breaking the track record.",3 class
321,As best as a rocket ship,To achieve success quickly and efficiently,"The company grew as best as a rocket ship, quickly expanding and making profits.",3 class
322,As best as a chef,To cook the most delicious and flavorful food,"The cook prepared the meal as best as a chef, using fresh ingredients and creative techniques.",3 class
323,As best as a doctor,To provide the highest level of care and expertise,"The physician treated the patient as best as a doctor, accurately diagnosing and treating the illness.",3 class
324,As best as a teacher,To educate and inspire students to the highest level,"The educator taught the lesson as best as a teacher, engaging and motivating the students.",3 class
325,As best as a detective,To investigate and solve a mystery with the highest level of skill,"The investigator solved the case as best as a detective, using their intelligence and intuition.",3 class
326,As best as a magician,To perform tricks and illusions with the highest level of skill,"The performer amazed the audience as best as a magician, leaving them wondering how the tricks were done.",3 class
327,As best as a soldier,To fight with the highest level of bravery and skill,"The soldier served their country as best as a soldier, risking their life to protect others.",3 class
328,As best as a superheroine,To be the most successful or powerful female,"The leader fought for justice as best as a superheroine, inspiring others with her courage and strength.",3 class
329,As best as a team captain,To lead a group to the highest level of success,"The captain led the team as best as a team captain, motivating and inspiring the players to win the game.",3 class
330,As best as a traveler,To explore and discover new places with the highest level of curiosity,"The adventurer explored the world as best as a traveler, learning and experiencing new cultures.",3 class
331,As best as a singer-songwriter,To create and perform music with the highest level of creativity and talent,"The musician wrote and performed the song as best as a singer-songwriter, expressing their emotions and connecting with the audience.",3 class
332,As best as a chef cooking a five-star meal,To cook a meal of the highest quality and flavor,"The chef prepared the dinner as best as a chef cooking a five-star meal, using the freshest ingredients and precise techniques.",3 class
333,As sad as a lost puppy,Feeling lonely and abandoned,The little girl felt as sad as a lost puppy when her best friend moved away.,3 class
334,As sad as a wilted flower,Feeling deflated and lifeless,The student felt as sad as a wilted flower when they received a low grade on their test.,3 class
335,As sad as a rainy day,Feeling gloomy and depressed,The man felt as sad as a rainy day after his girlfriend broke up with him.,3 class
336,As sad as a funeral,Feeling sorrowful and mourning,The family felt as sad as a funeral after their beloved pet passed away.,3 class
337,As sad as a broken heart,Feeling emotional pain and heartbreak,The girl felt as sad as a broken heart when she found out her crush was dating someone else.,3 class
338,As sad as a dark cloud,Feeling weighed down and heavy-hearted,The woman felt as sad as a dark cloud after she lost her job.,3 class
339,As sad as a cemetery,Feeling overwhelmed with grief,The woman felt as sad as a cemetery when she lost her mother to cancer.,3 class
340,As sad as a deserted island,Feeling isolated and alone,The boy felt as sad as a deserted island when he didn't have any friends to play with.,3 class
341,As sad as a rainy Monday morning,Feeling unmotivated and uninspired,The student felt as sad as a rainy Monday morning when they had to go to school after a long weekend.,3 class
342,As sad as a dark and stormy night,Feeling scared and alone,The child felt as sad as a dark and stormy night when they couldn't sleep because of a thunderstorm.,3 class
343,As sad as a broken toy,Feeling disappointed and let down,The little boy felt as sad as a broken toy when his favorite toy broke.,3 class
344,As sad as a lost treasure,Feeling regretful and nostalgic,The woman felt as sad as a lost treasure when she remembered the memories of her childhood home.,3 class
345,As sad as a song with no melody,Feeling empty and unfulfilled,The musician felt as sad as a song with no melody when they couldn't come up with any new ideas for a song.,3 class
346,As sad as a blank canvas,Feeling uninspired and uncreative,The artist felt as sad as a blank canvas when they couldn't think of anything to paint.,3 class
347,As sad as a muted TV,Feeling disconnected and uninterested,The man felt as sad as a muted TV when he realized he had no one to watch the game with.,3 class
348,As sad as a silent room,Feeling lonely and forgotten,The child felt as sad as a silent room when their parents forgot to pick them up from school.,3 class
349,As sad as a forgotten birthday,Feeling unimportant and neglected,The girl felt as sad as a forgotten birthday when none of her friends remembered her special day.,3 class
350,As sad as a broken promise,Feeling disappointed and let down,The woman felt as sad as a broken promise when her friend didn't show up to their planned outing.,3 class
351,As sad as a dull knife,Feeling ineffective and useless,The chef felt as sad as a dull knife when they couldn't cut through the vegetables.,3 class
352,As sad as a flat tire,Feeling frustrated and stranded,The man felt as sad as a flat tire when his car broke down on the side of the road.,3 class
353,As sad as a sunken ship,Feeling defeated and hopeless,The team felt as sad as a sunken ship when they lost the championship game.,3 class
119,As busy as a bee,Very active and hardworking,"She was as busy as a bee, running from one task to another.",4 class
120,As clean as a whistle,Very clean and pure,The room was as clean as a whistle after she finished tidying up.,4 class
121,As clear as crystal,Very clear and easy to understand,Her explanation was as clear as crystal and everyone understood it.,4 class
122,As cool as a cucumber,Very calm and composed,"Even in a crisis, he remained as cool as a cucumber and made smart decisions.",4 class
123,As cute as a button,Very adorable and charming,The puppy was as cute as a button and everyone wanted to pet him.,4 class
124,As easy as pie,Very easy and simple,The math problem was as easy as pie and she solved it in no time.,4 class
125,As fast as lightning,Very quick and rapid,He ran as fast as lightning to catch up with the other runners.,4 class
126,As flat as a pancake,Very flat and even,The road was as flat as a pancake and made for a smooth bike ride.,4 class
127,As free as a bird,Very free and unencumbered,She felt as free as a bird when she finally finished her exams.,4 class
128,As fresh as a daisy,Very fresh and new,The flowers were as fresh as a daisy and smelled wonderful.,4 class
129,As gentle as a lamb,Very gentle and kind,The new teacher was as gentle as a lamb and the students loved her.,4 class
130,As good as gold,Very good and well-behaved,The children were as good as gold during the field trip.,4 class
131,As happy as a clam,Very happy and content,She was as happy as a clam when she received an A on her test.,4 class
132,As hard as a rock,Very hard and solid,The diamond was as hard as a rock and difficult to cut.,4 class
133,As heavy as a brick,Very heavy and dense,The box was as heavy as a brick and difficult to carry.,4 class
134,As high as a kite,Very high and elevated,The airplane was flying as high as a kite in the sky.,4 class
135,As hot as fire,Very hot and intense,The sun was as hot as fire on the beach that day.,4 class
136,As hungry as a wolf,Very hungry and ravenous,He was as hungry as a wolf after his long hike.,4 class
137,As light as a feather,Very light and weightless,The bird was as light as a feather and could fly easily.,4 class
138,As loud as thunder,Very loud and powerful,The thunder was as loud as thunder and made the ground shake.,4 class
139,As mad as a hatter,Very angry and irrational,He was as mad as a hatter when he found out his bike was stolen.,4 class
140,As neat as a pin,Very neat and organized,Her desk was as neat as a pin and everything had its place.,4 class
141,As old as the hills,Very old and ancient,The castle was as old as the hills and had a rich history.,4 class
142,As pale as a ghost,Very pale and white,She looked as pale as a ghost after hearing the bad news.,4 class
143,As quiet as a mouse,Very quiet and silent,The library was as quiet as a mouse and you could hear a pin drop.,4 class
144,As quick as a flash,Very quick and fast,He caught the ball as quick as a flash and threw it back to the pitcher.,4 class
145,As calm as a pond,Very calm and peaceful,"The lake was as calm as a pond, reflecting the trees and sky.",4 class
146,As clear as day,Very clear and obvious,It was as clear as day that she was the best candidate for the job.,4 class
147,As cold as ice,Very cold and frigid,The snow was as cold as ice and made her fingers numb.,4 class
148,As common as dirt,Very common and ordinary,The plant was as common as dirt and could be found everywhere.,4 class
149,As cool as ice,Very cool and composed,The athlete was as cool as ice under pressure and won the race.,4 class
150,As crazy as a loon,Very crazy and irrational,The person was as crazy as a loon and made no sense.,4 class
151,As crooked as a snake,Very dishonest and deceptive,The salesman was as crooked as a snake and tried to sell her a faulty product.,4 class
152,As cute as a kitten,Very cute and charming,The kitten was as cute as a kitten and everyone wanted to pet her.,4 class
153,As cute as a cupcake,Very cute and sweet,The baby was as cute as a cupcake in her little outfit.,4 class
154,As dark as night,Very dark and black,The room was as dark as night and she couldn't see anything.,4 class
155,As dead as a doornail,Completely dead and lifeless,The plant was as dead as a doornail and couldn't be revived.,4 class
156,As deaf as a post,Completely deaf and unable to hear,The old man was as deaf as a post and needed a hearing aid.,4 class
157,As deep as the ocean,Very deep and profound,The poem was as deep as the ocean and had many layers of meaning.,4 class
158,As different as night and day,Completely different,The two brothers were as different as night and day in their personalities.,4 class
159,As difficult as climbing a mountain,Very difficult and challenging,The test was as difficult as climbing a mountain and she struggled to pass.,4 class
160,As dry as a bone,Very dry and arid,The desert was as dry as a bone and had no water source.,4 class
161,As dumb as a rock,Very stupid and unintelligent,The student was as dumb as a rock and struggled in school.,4 class
162,As easy as falling off a log,Very easy and simple,The project was as easy as falling off a log and she finished it quickly.,4 class
163,As easy as pie,Very easy and simple,The math problem was as easy as pie and she solved it in no time.,4 class
164,As excited as a kid on Christmas morning,Very excited and enthusiastic,The children were as excited as kids on Christmas morning to go on the field trip.,4 class
165,As flat as a pancake,Very flat and even,The road was as flat as a pancake and made for a smooth bike ride.,4 class
166,As free as a bird,Very free and unencumbered,She felt as free as a bird when she finally finished her exams.,4 class
167,As fresh as a daisy,Very fresh and new,The flowers were as fresh as a daisy and smelled wonderful.,4 class
168,As funny as a clown,Very funny and amusing,The comedian was as funny as a clown and had everyone laughing.,4 class
169,As gentle as a lamb,Very gentle and kind,The new teacher was as gentle as a lamb and the students loved her.,4 class
170,As neat as a pin,Very tidy and organized,"Her room was as neat as a pin, with everything in its place.",4 class
171,As nervous as a cat,Very nervous and anxious,The performer was as nervous as a cat before going on stage.,4 class
172,As noisy as a bee,Very noisy and busy,The classroom was as noisy as a bee hive during group work time.,4 class
173,As numb as a log,Completely numb and unfeeling,"After sitting on her foot for too long, her leg was as numb as a log.",4 class
174,As nutty as a fruitcake,Very crazy and eccentric,"The artist was as nutty as a fruitcake, creating bizarre sculptures.",4 class
175,As nimble as a deer,Very agile and quick,"The athlete was as nimble as a deer, easily jumping over obstacles.",4 class
176,As nasty as a snake,Very mean and unpleasant,"The bully was as nasty as a snake, constantly picking on others.",4 class
177,As new as a penny,Very new and fresh,"The car was as new as a penny, with only a few miles on it.",4 class
178,As noisy as thunder,Very loud and booming,"The fireworks were as noisy as thunder, filling the sky with light and sound.",4 class
179,As numb as a statue,Completely numb and unfeeling,"After standing in the cold for hours, her hands were as numb as a statue.",4 class
180,As nocturnal as an owl,Very active at night,"The bats were as nocturnal as owls, coming out at night to hunt for insects.",4 class
181,As narrow as a needle,Very narrow and thin,"The alleyway was as narrow as a needle, making it hard to walk through.",4 class
182,As nasty as moldy bread,Very unpleasant and unappetizing,"The sandwich was as nasty as moldy bread, with rotten lettuce and stale bread.",4 class
183,As noble as a king,Very noble and dignified,"The leader was as noble as a king, making wise decisions for the people.",4 class
184,As natural as breathing,Very natural and effortless,Playing the piano was as natural as breathing for the musician.,4 class
185,As nervous as a long-tailed cat in a room full of rocking chairs,Very nervous and jumpy,The new student was as nervous as a long-tailed cat in a room full of rocking chairs on the first day of school.,4 class
186,As naughty as a monkey,Very mischievous and playful,"The toddler was as naughty as a monkey, always getting into things she shouldn't.",4 class
187,As nice as pie,Very nice and friendly,"The new neighbor was as nice as pie, bringing over cookies to welcome them to the neighborhood.",4 class
188,As nimble as a cat,Very agile and quick,"The gymnast was as nimble as a cat, performing flips and twists with ease.",4 class
189,As numb as a block of ice,Completely numb and unfeeling,"After walking through the snow with no gloves, her fingers were as numb as a block of ice.",4 class
190,As needy as a baby,Very needy and dependent,"The puppy was as needy as a baby, constantly wanting attention and cuddles.",4 class
191,As numerous as the stars,Very numerous and abundant,The sand on the beach was as numerous as the stars in the sky.,4 class
192,As naughty as a schoolboy,Very mischievous and playful,"The prank was as naughty as a schoolboy, leaving the whole class laughing.",4 class
193,As blue as the sky,Very blue in color,The ocean was as blue as the sky on a clear day.,4 class
194,As clear as the sky,Very clear and transparent,The water in the lake was as clear as the sky above it.,4 class
195,As vast as the sky,Very large and expansive,"The desert was as vast as the sky, stretching out for miles.",4 class
196,As bright as the sky,Very bright and radiant,The fireworks were as bright as the sky on New Year's Eve.,4 class
197,As gray as the sky,Very gray in color,"The storm clouds were as gray as the sky, signaling the coming rain.",4 class
198,As blue as the sky on a summer day,Very blue in color and bright,"The kite was as blue as the sky on a summer day, flying high in the air.",4 class
199,As endless as the sky,Very long-lasting and never-ending,"The job seemed as endless as the sky, with no end in sight.",4 class
200,As high as the sky,Very tall and elevated,"The skyscraper was as high as the sky, towering above the city.",4 class
201,As pure as the sky,Very pure and clean,The water in the mountain stream was as pure as the sky above it.,4 class
202,As serene as the sky,Very calm and peaceful,"The lake was as serene as the sky above it, with no waves or ripples.",4 class
203,As vast as the sky above the ocean,Very large and expansive,"The ocean was as vast as the sky above it, stretching out as far as the eye could see.",4 class
204,As clear as a summer sky,Very clear and transparent,"The lake was as clear as a summer sky, with no debris or algae in the water.",4 class
205,As blue as the sky on a cloudless day,Very blue in color and bright,"The dress was as blue as the sky on a cloudless day, perfect for a summer picnic.",4 class
206,As high as the sky on a clear day,Very tall and elevated,"The mountain peak was as high as the sky on a clear day, offering stunning views.",4 class
207,As dark as the sky on a moonless night,Very dark in color,"The room was as dark as the sky on a moonless night, making it hard to see anything.",4 class
208,As infinite as the sky,Very long-lasting and never-ending,"The possibilities were as infinite as the sky, with endless options.",4 class
209,As pure as the blue sky above,Very pure and clean,"The air in the mountains was as pure as the blue sky above, with no pollution or smog.",4 class
210,As calm as the sky before a storm,Very calm and peaceful,"The lake was as calm as the sky before a storm, with no wind or waves.",4 class
211,As wide as the sky,Very wide and expansive,"The desert was as wide as the sky, with no end in sight.",4 class
212,As clear as the sky after a storm,Very clear and transparent,"The air was as clear as the sky after a storm, with no clouds in sight.",4 class
213,As vast as the sky on a clear night,Very large and expansive,"The universe was as vast as the sky on a clear night, with billions of stars.",4 class
214,As blue as the sky in a painting,Very blue in color and vivid,The sky in the painting was as blue as the sky on a perfect summer day.,4 class
215,Jumping like a jackrabbit,Moving quickly and nimbly,The kids were jumping like jackrabbits during recess.,4 class
216,Jittery as a junebug,Nervous or anxious,The performer was jittery as a junebug before the big show.,4 class
217,Jolly as a jester,Happy and playful,"The clown was as jolly as a jester, making the children laugh.",4 class
218,Jaded as jade,Tired and unenthusiastic,The veteran teacher was jaded as jade after years of teaching.,4 class
219,Jumpy as a jaguar,Nervous or easily startled,"The cat was jumpy as a jaguar, always on high alert.",4 class
220,Joyful as a jingle,Very happy and festive,"The room was joyful as a jingle, with holiday decorations everywhere.",4 class
221,Jumpy as a jack-in-the-box,Nervous or easily startled,"The dog was jumpy as a jack-in-the-box, barking at every little sound.",4 class
222,Jocund as a jester,Happy and playful,"The party was jocund as a jester, with music and dancing.",4 class
223,Jovial as a jaybird,Cheerful and friendly,"The man was jovial as a jaybird, always making friends wherever he went.",4 class
224,Jumbled as a jigsaw puzzle,Mixed up and confusing,"The instructions were jumbled as a jigsaw puzzle, making it hard to put the toy together.",4 class
225,Jumpy as a jaybird,Nervous or easily startled,"The horse was jumpy as a jaybird, spooked by the slightest noise.",4 class
226,Jocular as a jester,Funny and playful,"The comedian was jocular as a jester, making the audience laugh.",4 class
227,Jarring as a jackhammer,Unpleasantly loud or disruptive,"The noise from the construction site was jarring as a jackhammer, making it hard to concentrate.",4 class
228,Juicy as a juicy fruit,Full of flavor and delicious,"The watermelon was juicy as a juicy fruit, perfect for a summer day.",4 class
229,Jittery as a jackhammer,Nervous or anxious,The girl was jittery as a jackhammer before her big test.,4 class
230,Jumbo as a jumbo jet,Very large or oversized,"The elephant was jumbo as a jumbo jet, towering over the other animals.",4 class
231,Jaded as junk mail,Tired and uninterested,"The salesman was jaded as junk mail, tired of trying to make sales.",4 class
232,Jittery as a jitterbug,Nervous or anxious,The girl was jittery as a jitterbug before her first dance recital.,4 class
233,Jovial as a June day,Cheerful and sunny,"The woman was jovial as a June day, always smiling and happy.",4 class
234,Jumbled as a junk drawer,Mixed up and disorganized,"The drawer was jumbled as a junk drawer, with everything thrown inside.",4 class
235,Jumpy as a jumping bean,Nervous or easily startled,"The cat was jumpy as a jumping bean, always on high alert.",4 class
236,Joyful as a joyful noise,Very happy and festive,"The choir was joyful as a joyful noise, singing Christmas carols.",4 class
237,Jovial as a jolly Santa,Cheerful and festive,"The man was jovial as a jolly Santa, bringing presents to the children.",4 class
1,As busy as a bee,Very active and hardworking,"Sarah is as busy as a bee, always running around and getting things done.",5 class
2,As clear as crystal,Very clear and easy to understand,"His explanation was as clear as crystal, and we all knew exactly what he meant.",5 class
3,As cute as a button,Very adorable or charming,"The little puppy was as cute as a button, and everyone wanted to play with him.",5 class
4,As dark as night,Completely dark or black,"The sky was as dark as night, and the stars shone brightly overhead.",5 class
5,As dead as a doornail,Completely lifeless,"The old computer was as dead as a doornail, and it wouldn't turn on no matter what we did.",5 class
6,As easy as pie,Very easy,"Solving this math problem was as easy as pie, and I finished it in no time.",5 class
7,As fast as lightning,Very fast,The cheetah ran as fast as lightning and quickly caught its prey.,5 class
8,As gentle as a lamb,Very gentle and kind,"The nurse was as gentle as a lamb when she administered the shot, and it didn't hurt at all.",5 class
9,As happy as a clam,Very happy and content,"After getting her favorite toy for her birthday, she was as happy as a clam.",5 class
10,As hard as nails,Very tough and strong,The football player was as hard as nails and could withstand any hit.,5 class
11,As light as a feather,Very light and weightless,The bird was as light as a feather and could fly effortlessly through the air.,5 class
12,As quiet as a mouse,Very quiet and silent,The baby was sleeping soundly and as quiet as a mouse.,5 class
13,As red as a tomato,Very red,"After running around outside, her face was as red as a tomato from the heat.",5 class
14,As slow as a snail,Very slow,The old car was as slow as a snail and couldn't keep up with the other cars on the road.,5 class
15,As tall as a giraffe,Very tall,The basketball player was as tall as a giraffe and could easily dunk the ball.,5 class
16,As ugly as sin,Very ugly,The old building was as ugly as sin and needed a lot of work to make it look nice again.,5 class
17,As white as snow,Very white,The snow on the ground was as white as snow and glistened in the sunlight.,5 class
18,As wise as an owl,Very wise and knowledgeable,The professor was as wise as an owl and had a lot of information to share with his students.,5 class
19,As yellow as a lemon,Very yellow,The lemon in the fruit bowl was as yellow as a lemon and looked perfectly ripe.,5 class
20,As quiet as a church mouse,Very quiet and silent,The children were as quiet as church mice during the ceremony.,5 class
21,As smart as a whip,Very intelligent and quick-witted,The young boy was as smart as a whip and always had an answer to any question.,5 class
22,As proud as a peacock,Very proud and boastful,"After winning the game, the team captain was as proud as a peacock and bragged about their victory.",5 class
23,As strong as an ox,Very strong and powerful,The weightlifter was as strong as an ox and easily lifted the heavy barbell.,5 class
24,As fit as a fiddle,Very healthy and in good shape,"After exercising regularly, she was as fit as a fiddle and had a lot of energy.",5 class
25,Bald as a coot,Completely bald,The old man was bald as a coot and didn't have a single hair on his head.,5 class
26,Bitter as gall,Very bitter,The medicine was as bitter as gall and made her scrunch up her face in disgust.,5 class
27,Black as coal,Completely black,The coal in the mine was black as coal and covered everything with a layer of soot.,5 class
28,Blind as a bat,Completely blind,"Without his glasses, he was blind as a bat and couldn't see anything clearly.",5 class
29,Blue as a robin's egg,Very blue,The sky on a clear day was as blue as a robin's egg and stretched out for miles.,5 class
30,Busy as a beaver,Very busy and hardworking,"During the holidays, the bakery was as busy as a beaver with all the orders for cakes and pies.",5 class
31,Bright as a button,Very bright and shining,The sun on a clear day was as bright as a button and illuminated everything around it.,5 class
32,Busy as a bee,Very active and hardworking,The student was as busy as a bee studying for her exams and completing her homework.,5 class
33,Brave as a lion,Very brave and courageous,"The firefighter was as brave as a lion, rushing into the burning building to save the people inside.",5 class
34,Blind as a mole,Completely blind,The mole was blind as a mole and had to rely on its sense of smell to navigate its surroundings.,5 class
35,Broad as a barn,Very wide,The doorway to the old barn was as broad as a barn and allowed even the largest animals to enter.,5 class
36,Bold as brass,Very bold and confident,The young performer was as bold as brass and wasn't afraid to sing in front of a large audience.,5 class
37,Big as a bear,Very big,The bear was as big as a bear and towered over everything in its path.,5 class
38,Blue as the sky,Very blue,The sky on a clear day was as blue as the sky and looked endless.,5 class
39,Bright as day,Very bright and clear,The lighthouse on the coast was as bright as day and helped guide ships to safety.,5 class
40,Big as an elephant,Very big,The elephant was as big as an elephant and weighed several tons.,5 class
41,Brave as a tiger,Very brave and courageous,The soldier was as brave as a tiger and charged into battle without hesitation.,5 class
42,Black as midnight,Completely black,"The night was as black as midnight, and the stars sparkled like diamonds in the sky.",5 class
43,Blue as the ocean,Very blue,The ocean was as blue as the sky and stretched out as far as the eye could see.,5 class
44,Busy as a one-armed paperhanger,Very busy,"During the holiday season, the store was as busy as a one-armed paperhanger with all the shoppers.",5 class
45,Big as a house,Very big,The mansion was as big as a house and had several rooms and a large garden.,5 class
46,Brown as a berry,Very brown,"After spending the summer outside, her skin was as brown as a berry and had a healthy glow.",5 class
47,Beautiful as a butterfly,Very beautiful,The butterfly was as beautiful as a butterfly and had colorful wings that shimmered in the sunlight.,5 class
48,Brave as a knight,Very brave and chivalrous,The knight was as brave as a knight and fought for justice and honor.,5 class
49,As light as a feather,Very light and weightless,The pillow was as light as a feather and was easy to carry.,5 class
50,As light as air,Very light and weightless,The cotton candy was as light as air and melted in your mouth.,5 class
51,As light as a cloud,Very light and weightless,The cotton ball was as light as a cloud and floated through the air.,5 class
52,As light as a breeze,Very light and weightless,The silk scarf was as light as a breeze and fluttered in the wind.,5 class
53,As light as a soap bubble,Very light and weightless,The soap bubble was as light as a soap bubble and popped when it touched a surface.,5 class
54,As light as a sigh,Very light and weightless,The whispered word was as light as a sigh and barely audible.,5 class
55,As light as a sheet of paper,Very light and weightless,The tissue paper was as light as a sheet of paper and could be blown away by the wind.,5 class
56,As light as a dandelion seed,Very light and weightless,The dandelion seed was as light as a dandelion seed and floated away on the wind.,5 class
57,As light as a thistledown,Very light and weightless,The thistledown was as light as a thistledown and floated on the breeze.,5 class
58,As light as a wisp of smoke,Very light and weightless,The smoke was as light as a wisp of smoke and floated up into the air.,5 class
59,As light as a cotton ball,Very light and weightless,The cotton ball was as light as a cotton ball and floated through the air.,5 class
60,As light as a bubble,Very light and weightless,The bubble was as light as a bubble and popped when it touched a surface.,5 class
61,As light as a butterfly,Very light and weightless,The butterfly was as light as a butterfly and landed gently on the flower.,5 class
62,As light as a helium balloon,Very light and weightless,The helium balloon was as light as a helium balloon and floated up into the sky.,5 class
63,As light as a dream,Very light and weightless,The memory was as light as a dream and faded away with time.,5 class
64,As light as a whisper,Very light and weightless,The whisper was as light as a whisper and could barely be heard.,5 class
65,As light as a feather in the wind,Very light and weightless,The leaf was as light as a feather in the wind and blew away with the breeze.,5 class
66,As light as a bubble of air,Very light and weightless,The bubble of air was as light as a bubble of air and rose to the surface of the water.,5 class
67,As light as a cobweb,Very light and weightless,The cobweb was as light as a cobweb and floated in the breeze.,5 class
68,As light as a strand of hair,Very light and weightless,The strand of hair was as light as a strand of hair and barely weighed anything.,5 class
69,As light as a hummingbird,Very light and weightless,The hummingbird was as light as a hummingbird and flitted from flower to flower.,5 class
70,As light as a snowflake,Very light and weightless,The snowflake was as light as a snowflake and melted when it touched your hand.,5 class
71,As sly as a fox,Cunning and devious,"He was as sly as a fox, always finding ways to trick his classmates.",5 class
72,As silly as a clown,Foolish and playful,She acted as silly as a clown during the school play.,5 class
73,As sharp as a needle,Quick-witted and intelligent,She was as sharp as a needle and always knew the answers in class.,5 class
74,As slippery as an eel,Hard to hold on to or catch,The fish was as slippery as an eel and kept wriggling out of his hands.,5 class
75,As strong as an ox,Very strong and powerful,The wrestler was as strong as an ox and easily lifted his opponent off the ground.,5 class
76,As slow as a snail,Very slow and sluggish,The turtle was as slow as a snail and took a long time to cross the finish line.,5 class
77,As sweet as sugar,Very sweet and pleasant,The candy was as sweet as sugar and melted in your mouth.,5 class
78,As smooth as silk,Very smooth and soft,The dress was as smooth as silk and felt luxurious to the touch.,5 class
79,As sour as vinegar,Very sour and unpleasant,The lemon was as sour as vinegar and made his mouth pucker up.,5 class
80,As soft as a pillow,Very soft and comfortable,The bed was as soft as a pillow and he sank into it with a sigh.,5 class
81,As straight as an arrow,Very straight and direct,The road was as straight as an arrow and led them to their destination.,5 class
82,As stiff as a board,Very stiff and rigid,The soldier stood as stiff as a board during the parade.,5 class
83,As stubborn as a mule,Very stubborn and obstinate,He was as stubborn as a mule and refused to change his mind.,5 class
84,As swift as a deer,Very fast and quick,The athlete was as swift as a deer and won the race easily.,5 class
85,As sharp as a tack,Very sharp and focused,She was as sharp as a tack and caught every mistake in the document.,5 class
86,As short as a hiccup,Very short and brief,The meeting was as short as a hiccup and only lasted a few minutes.,5 class
87,As slim as a reed,Very slim and slender,The model was as slim as a reed and looked stunning on the runway.,5 class
88,As silent as a mouse,Very quiet and noiseless,The classroom was as silent as a mouse during the test.,5 class
89,As solid as a rock,Very strong and unbreakable,The building was as solid as a rock and could withstand earthquakes.,5 class
90,As steady as a rock,Very stable and unwavering,His hands were as steady as a rock and he didn't shake at all.,5 class
91,As stubborn as an old dog,Very stubborn and unyielding,She was as stubborn as an old dog and refused to try anything new.,5 class
92,As scary as a ghost,Very frightening and spooky,The haunted house was as scary as a ghost and made them scream with fear.,5 class
93,As skinny as a rail,Very thin and bony,The model was as skinny as a rail and had to eat a lot to maintain her weight.,5 class
94,As smooth as glass,Very smooth and polished,The table was as smooth as glass and reflected the light beautifully.,5 class
95,As sound as a bell,Very clear and distinct,The singer's voice was as sound as a bell and filled the room with music.,5 class
96,As heavy as lead,Very heavy and dense,The box was as heavy as lead and took two people to carry it.,5 class
97,As heavy as a rock,Very heavy and solid,The boulder was as heavy as a rock and couldn't be moved by one person.,5 class
98,As heavy as a ton of bricks,Very heavy and overwhelming,The news hit him as heavy as a ton of bricks and he couldn't believe it.,5 class
99,As heavy as an elephant,Very heavy and cumbersome,The sofa was as heavy as an elephant and difficult to move up the stairs.,5 class
100,As heavy as a bear,Very heavy and cumbersome,The backpack was as heavy as a bear and hurt his shoulders.,5 class
101,As heavy as a burden,Very heavy and oppressive,The responsibilities weighed on her as heavy as a burden and made her tired.,5 class
102,As heavy as a load of bricks,Very heavy and cumbersome,The grocery bags were as heavy as a load of bricks and made his arms ache.,5 class
103,As heavy as iron,Very heavy and strong,The safe was as heavy as iron and impossible to lift without a crane.,5 class
104,As heavy as a hammer,Very heavy and powerful,The hammer was as heavy as a sledgehammer and could break through concrete.,5 class
105,As heavy as a boulder,Very heavy and solid,The snowball was as heavy as a boulder and knocked him over.,5 class
106,As heavy as a mountain,Very heavy and massive,The weight of his guilt felt as heavy as a mountain on his chest.,5 class
107,As heavy as a tank,Very heavy and formidable,The armor was as heavy as a tank and protected him from enemy fire.,5 class
108,As heavy as a load of laundry,Very heavy and cumbersome,The laundry basket was as heavy as a load of laundry and made her arms ache.,5 class
109,As heavy as a log,Very heavy and unwieldy,The tree trunk was as heavy as a log and had to be moved with a crane.,5 class
