id,word,word_definition,antonyms,synonyms,example,relevance
2048,because,for the reason that,"despite, although, regardless of","since, as, due to the fact that",I wear a coat because it is cold outside.,5 class
2049,before,prior to the time when,"after, later than, subsequently","earlier than, preceding, in advance of",I like to finish my homework before dinner.,5 class
2050,but,"on the contrary, however","and, also, furthermore","nevertheless, nonetheless, yet","I wanted to go outside, but it was raining.",5 class
2051,by the time,at or before the time that,"after, later than, subsequently","when, as soon as, once","By the time I get home, my parents will have finished cooking dinner.",5 class
2052,even if,in the event that,"as long as, provided that, if","regardless of whether, even though, whether or not",I will go to the beach even if it is cold.,5 class
2053,even though,despite the fact that,"because, since, as","although, though, notwithstanding","Even though I was tired, I stayed up late to finish my book.",5 class
2054,for,used to indicate the purpose of something,"to prevent, to hinder, to stop","in order to, so as to, for the purpose of",I exercise for my health.,5 class
2055,if,in the event that,"unless, except, but for","provided that, assuming that, on the condition that","If I study hard, I will get good grades.",5 class
2056,in order to,for the purpose of,"to prevent, to hinder, to stop","with the intention of, so as to, with the aim of",I study hard in order to get good grades.,5 class
2057,nor,used to connect two negative ideas,"either, or, and","not...either, neither...nor","I don't like broccoli, nor do I like cauliflower.",5 class
2058,once,as soon as,"before, prior to, subsequently","after, when, by the time","Once I finish my chores, I can play outside.",5 class
2059,or,used to present alternatives,"and, both, as well as","either...or, whether...or, neither...nor",Do you want pizza or pasta for dinner?,5 class
2060,since,from a past time until now,"although, despite, regardless of","because, as, given that",I have known her since we were in kindergarten.,5 class
2061,so,as a result,"however, but, nevertheless","therefore, thus, consequently","I studied hard, so I got an A on my test.",5 class
2062,I,Refers to the speaker,"You, He, She","Myself, Me, Self",I love to play basketball.,5 class
2063,You,Refers to the listener,"I, He, She","Yourself, Thee, Thou",Do you want to come over to my house after school?,5 class
2064,He,Refers to a male person,"She, Her, Herself","Him, Himself, His",He is a good student in math.,5 class
2065,She,Refers to a female person,"He, Him, Himself","Her, Herself, Hers",She loves to draw and paint.,5 class
2066,It,Refers to a thing or an animal,"Person, He, She","That, This, Thing",The cat drank all of its milk.,5 class
2067,We,Refers to the speaker and one or more other people,"You, They, Them","Us, Ourselves, Our",We are going on a family vacation next week.,5 class
2068,They,Refers to multiple people,"He, She, It","Them, Themselves, Their",They are the best soccer players on the team.,5 class
2069,Me,Refers to the speaker,"You, He, She","Myself, I, Self",Can you pass me the ball?,5 class
2070,Him,Refers to a male person,"She, Her, Herself","He, Himself, His",The teacher gave him a gold star for his good behavior.,5 class
2071,Her,Refers to a female person,"He, Him, Himself","She, Herself, Hers",Her favorite color is purple.,5 class
2072,Us,Refers to the speaker and one or more other people,"You, They, Them","We, Ourselves, Our",Can you take a picture of us?,5 class
2073,Them,Refers to multiple people,"He, She, It","They, Themselves, Their",I saw them at the park yesterday.,5 class
2074,Myself,Refers to the speaker,"You, He, She","I, Me, Self",I made breakfast for myself this morning.,5 class
2075,Yourself,Refers to the listener,"Me, He, She","You, Thee, Thou",Did you enjoy yourself at the party?,5 class
2076,Ourselves,Refers to the speaker and one or more other people,"You, They, Them","We, Us, Our",We painted the room ourselves.,5 class
2077,Themselves,Refers to multiple people,"He, She, It","They, Them, Their",The kids entertained themselves with games and puzzles.,5 class
2078,Who,Refers to a person or people,"What, Where, When","Whoever, Whom, Whose",Who is going to the movie with us tonight?,5 class
2079,Whom,Refers to a person or people,"What, Where, When","Who, Whose, Whoever",Whom did you invite to the party?,5 class
2080,Whose,Refers to possession,"What, Where, When","Who, Whom, Whoever",Whose backpack is this?,5 class
2081,Which,Refers to a thing or a person,"Who, Whom, Whose","That, What, Who",Which game do you want to play?,5 class
2082,That,Refers to a thing or a person,"Who, Whom, Whose","Which, Who, What",I want that toy on the shelf.,5 class
262,Astonish,To surprise or amaze greatly,"Bore, Tired, Unimpress, Unsurprise","Startle, Shock, Stun, Dazzle",The magician's tricks never failed to astonish the audience.,2 class
263,Brilliant,"Very bright or shining, exceptionally clever or talented","Dull, Stupid, Unimpressive, Ordinary","Radiant, Dazzling, Intelligent, Gifted","The fireworks display was brilliant, and everyone loved it.",2 class
264,Clumsy,"Awkward in movement or action, lacking skill or grace","Graceful, Coordinated, Skilled, Agile","Clumsy-fingered, Ungainly, Bungling, Inept",The little boy was clumsy and kept dropping his toys.,2 class
265,Delicious,Having a pleasant taste or flavor,"Tasteless, Disgusting, Unappetizing, Bland","Tasty, Yummy, Appetizing, Delectable","The pizza was delicious, and the kids couldn't get enough of it.",2 class
266,Enormous,"Very large in size, quantity, or extent","Tiny, Small, Minuscule, Insignificant","Huge, Gigantic, Immense, Colossal","The elephant was enormous, and the children were amazed by its size.",2 class
267,Exciting,Causing strong feelings of anticipation or eagerness,"Boring, Dull, Uninteresting, Monotonous","Thrilling, Exhilarating, Stimulating, Electrifying","The amusement park was so exciting, and the kids had a great time.",2 class
268,Fascinating,Extremely interesting or captivating,"Boring, Uninteresting, Dull, Tedious","Intriguing, Enthralling, Gripping, Absorbing","The documentary about sharks was fascinating, and the kids learned a lot.",2 class
269,Gentle,"Kind, mild, or soft in nature or character","Rough, Harsh, Aggressive, Violent","Tender, Soothing, Calm, Mild","The baby bunny was so gentle, and the kids were careful not to scare it.",2 class
270,Giggle,To laugh in a silly or happy way,"Cry, Weep, Sob, Frown","Chuckle, Chortle, Snicker, Teehee",The little girl couldn't stop giggling when she saw the silly clown.,2 class
271,Hilarious,Extremely funny or amusing,"Serious, Solemn, Humorless, Unamusing","Comical, Witty, Humorous, Entertaining","The movie was hilarious, and the kids laughed so hard they cried.",2 class
272,Imaginative,Creative and full of imagination,"Unimaginative, Uncreative, Dull, Boring","Inventive, Visionary, Creative, Artistic",The little boy had an imaginative mind and loved to create his own stories.,2 class
273,Jolly,Cheerful and friendly,"Sad, Miserable, Unhappy, Gloomy","Merry, Happy, Joyful, Lively",The jolly clown made the kids laugh and smile.,2 class
274,Keen,Having a sharp or penetrating quality,"Dull, Blunt, Faint, Weak","Intense, Sharp, Strong, Clear",The little boy had a keen sense of smell and could sniff out the cookies.,2 class
275,Happy,Feeling or showing pleasure or contentment,"Sad, Miserable, Unhappy, Depressed","Joyful, Cheerful, Delighted, Pleased",Sarah was happy to see her grandma after a long time.,2 class
276,Help,To make it easier for someone to do something or to do something for someone,"Hinder, Prevent, Obstruct, Halt","Assist, Support, Aid, Serve","Can you help me carry these bags, please?",2 class
277,House,A building for people to live in,"Outdoors, Wilderness, Jungle, Desert","Home, Dwelling, Residence, Abode",My grandparents live in a beautiful house by the lake.,2 class
278,Hello,Used as a greeting or to attract attention,"Goodbye, Farewell, Bye, Adieu","Hi, Hey, Greetings, Salutations","Hello, how are you doing today?",2 class
279,Hungry,Feeling a need to eat food,"Full, Satisfied, Content, Gluttonous","Starving, Famished, Ravenous, Peckish","I'm hungry, can we please have some lunch now?",2 class
280,Happy Birthday,A greeting used to celebrate someone's birthday,"Condolences, Sorry for your loss, Get well soon, Congratulations on your divorce","Many happy returns, Best wishes on your birthday, Happy b-day, HBD","Happy birthday to my best friend, may all your wishes come true!",2 class
281,Hospital,A place where people receive medical treatment,"Home, Office, Park, School","Clinic, Infirmary, Medical center, Health center",My mom works at the hospital as a nurse.,2 class
282,Heart,The organ in your chest that pumps blood around your body,"Exterior, Surface, Superficial, Shallow","Center, Core, Essence, Soul",Exercise is good for the heart.,2 class
283,Homework,"Work that is done at home, especially school exercises assigned by a teacher","Play, Fun, Relaxation, Leisure","Assignment, Task, Study, Reading",I need to finish my homework before I can go out and play.,2 class
284,Hat,"A covering for the head, typically with a brim and a shaped crown","Helmet, Tiara, Crown, Headdress","Cap, Beanie, Beret, Fedora",My dad wears a hat when he goes outside to work in the garden.,2 class
285,Houseplant,A plant that is grown indoors in a pot or other container,"Outdoor plant, Garden plant, Wild plant, Weeds","Indoor plant, Potted plant, Foliage, Greenery",I water my houseplants every week to keep them healthy.,2 class
286,Helpfulness,The quality of being useful and willing to help,"Hindrance, Obstruction, Hindrance, Interference","Assistance, Support, Aid, Cooperation","Thank you for your helpfulness, you are a great friend.",2 class
287,Hug,An act of holding someone tightly in one's arms,"Push, Shove, Repel, Reject","Embrace, Cuddle, Snuggle, Squeeze",My mom gave me a warm hug when I came home from school.,2 class
288,Horse,"A large, four-legged animal used for riding, racing, or working","Fish, Bird, Insect, Reptile","Stallion, Mare, Gelding, Colt",We went on a horseback riding trip during our vacation.,2 class
289,Brave,Ready to face and endure danger or pain,"Cowardly, Timid, Scared, Afraid","Courageous, Valiant, Fearless, Bold",It takes a brave person to stand up to a bully.,2 class
290,Kind,"Having or showing a friendly, generous, and considerate nature","Mean, Cruel, Unkind, Selfish","Benevolent, Compassionate, Gracious, Sympathetic",My mom is very kind and always helps people in need.,2 class
291,Curious,Eager to know or learn something,"Indifferent, Unconcerned, Apathetic, Uninterested","Inquisitive, Intrigued, Interested, Nosy",The cat was very curious about the new toy.,2 class
292,Excited,Very enthusiastic and eager,"Bored, Indifferent, Calm, Unenthusiastic","Thrilled, Enthusiastic, Ecstatic, Overjoyed",I am so excited to go to the amusement park!,2 class
293,Angry,"Feeling or showing strong annoyance, displeasure, or hostility","Calm, Happy, Pleased, Content","Furious, Mad, Upset, Irritated",The dog was angry when the cat stole its toy.,2 class
294,Sad,Feeling or showing sorrow; unhappy,"Happy, Joyful, Elated, Cheerful","Miserable, Melancholy, Gloomy, Depressed",I feel sad when my friend is not around.,2 class
295,Big,"Of considerable size, extent, or intensity","Small, Tiny, Little, Miniature","Large, Huge, Enormous, Gigantic",The elephant is a big animal.,2 class
296,Small,"Little in size, amount, or degree","Big, Large, Huge, Enormous","Tiny, Miniature, Petite, Little",The ant is a small insect.,2 class
297,Fast,Moving or capable of moving at high speed,"Slow, Leisurely, Languid, Sluggish","Quick, Swift, Rapid, Speedy",The cheetah is a fast animal.,2 class
298,Slow,Moving or operating at a slow speed,"Fast, Quick, Swift, Rapid","Sluggish, Leisurely, Languid, Gradual",The turtle is a slow animal.,2 class
299,Loud,Producing or capable of producing much noise,"Quiet, Soft, Silent, Hushed","Noisy, Boisterous, Raucous, Thunderous",The firecracker made a loud noise.,2 class
300,Soft,"Easy to mold, cut, compress, or fold; not hard or firm to the touch","Hard, Rough, Coarse, Tough","Gentle, Mild, Delicate, Smooth",The pillow is soft and comfortable.,2 class
301,Hard,"Solid, firm, and rigid; not easily broken, bent, or pierced","Soft, Gentle, Delicate, Weak","Tough, Strong, Sturdy, Resilient",The rock is hard and cannot be broken easily.,2 class
302,Dark,With little or no light,"Bright, Light, Sunny, Luminous","Dim, Gloomy, Dusky, Shadowy",The room is dark when the lights are turned off.,2 class
303,Light,The natural agent that stimulates sight and makes things visible,"Dark, Dim, Gloomy, Dusky","Bright, Illuminated, Radiant, Shiny",The sun provides light during the day.,2 class
304,Ghost,The spirit of a dead person,"Alive, Living, Real, Tangible","Phantom, Apparition, Specter, Wraith",I saw a ghost in the old house.,2 class
305,Glasses,A pair of lenses worn to aid vision,"Contact lenses, Monocle, Blindfold, Sunglasses","Spectacles, Eyeglasses, Opticals, Shades",I need to wear my glasses to see the board in class.,2 class
306,Giant,A person or thing of very great size or power,"Dwarf, Midget, Tiny, Small","Colossus, Titan, Behemoth, Juggernaut",The giant towered over everyone else.,2 class
307,Garden,A piece of ground used for growing flowers or vegetables,"Desert, Wasteland, Barren, Uncultivated","Yard, Park, Green, Lawn",My mom grows tomatoes in our garden every summer.,2 class
308,Goose,A large waterbird with a long neck and webbed feet,"Predator, Prey, Herbivore, Carnivore","Gander, Bird, Fowl, Waterfowl",The goose honked loudly as it flew overhead.,2 class
309,Goal,The object of a person's ambition or effort,"Failure, Loss, Misfire, Defeat","Objective, Aim, Purpose, Target",My goal is to get an A on my math test.,2 class
310,Grape,A small round fruit that grows in clusters and can be eaten or used to make wine,"Vegetable, Meat, Fish, Bread","Berry, Fruit, Vitis, Cluster",I love eating grapes as a snack.,2 class
311,Gum,"A soft, sticky substance that is chewed to freshen the breath or exercise the jaw","Toothpaste, Mouthwash, Dental floss, Toothbrush","Chewing gum, Bubble gum, Chicle, Resin",I like to chew gum after lunch.,2 class
312,Gumball,"A small, round candy with a flavored coating that is dispensed from a machine when a coin is inserted","Sour, Bitter, Spicy, Salty","Bubblegum, Candy, Treat, Sweet",I got a gumball from the machine at the store.,2 class
313,Guest,A person who is invited to stay in someone's home or attend an event,"Host, Owner, Resident, Occupant","Visitor, Invitee, Attendee, Company",We had guests over for dinner last night.,2 class
314,Guitar,A stringed musical instrument played with the fingers or a plectrum,"Drum, Piano, Violin, Saxophone","Acoustic guitar, Electric guitar, Bass guitar, Classical guitar",I love playing my guitar and singing songs.,2 class
315,Guide,A person who shows the way to others or provides information,"Follower, Student, Pupil, Novice","Mentor, Teacher, Instructor, Advisor",The tour guide showed us around the city.,2 class
316,Gumdrop,"A small, brightly colored candy with a chewy texture","Sour, Bitter, Spicy, Salty","Candy, Treat, Confection, Sweet",I love eating gumdrops as a snack.,2 class
317,Game,An activity or sport played according to rules,"Work, Chores, Task, Duty","Sport, Competition, Contest, Match",Let's play a game of tag during recess.,2 class
318,Gummy,"Soft and sticky to the touch, like gum or candy","Hard, Solid, Rigid, Stiff","Chewy, Sticky, Tacky, Adhesive",I love eating gummy bears as a treat.,2 class
319,Sun,"The star around which the Earth orbits, providing light and warmth","Moon, Darkness, Night, Eclipse","Star, Sol, Sunshine, Daystar",The sun is shining bright today!,2 class
320,Swim,To move through water by making motions with the limbs,"Sink, Drown, Sink, Struggle","Wade, Paddle, Float, Dive",I love to swim in the pool during the summer.,2 class
321,Sock,"A covering for the foot, usually made of cotton or wool","Glove, Hat, Scarf, Shirt","Stocking, Hosiery, Footwear, Hose",I need to put on my socks before I go outside.,2 class
322,Snake,"A long, legless reptile with a scaly skin and a forked tongue","Mammal, Bird, Fish, Amphibian","Serpent, Cobra, Viper, Python",I saw a snake in the grass while I was playing outside.,2 class
323,Sandwich,Two or more slices of bread with a filling between them,"Salad, Soup, Pasta, Steak","Sub, Hoagie, Wrap, Burger",I'm going to make a peanut butter and jelly sandwich for lunch.,2 class
324,Swing,To move back and forth or to and fro on a suspended seat or branch,"Still, Stop, Halt, Stay","Sway, Rock, Oscillate, Dangle",I love to swing on the playground during recess.,2 class
325,Soccer,A game played with a round ball between two teams of eleven players,"Basketball, Baseball, Volleyball, Tennis","Football, Futbol, Footy, Association football",I want to play soccer on the school team this year.,2 class
326,Star,"A celestial object that produces light and heat, usually seen as a twinkling point in the night sky","Earth, Human, Animal, Plant","Sun, Moon, Planet, Galaxy",I saw a shooting star in the sky last night.,2 class
327,Sing,To make musical sounds with the voice,"Mute, Silent, Speechless, Quiet","Chant, Croon, Hum, Warble",I love to sing along to my favorite songs on the radio.,2 class
328,Slide,To move smoothly and easily along a surface,"Stop, Halt, Stay, Park","Glide, Slip, Skid, Coast",I'm going to go down the slide on the playground.,2 class
329,Shark,A large predatory fish with sharp teeth and a streamlined body,"Goldfish, Trout, Salmon, Tuna","Great white shark, Hammerhead, Tiger shark, Bull shark",I learned about sharks in science class today.,2 class
330,Skate,To move on a flat surface with wheels or blades attached to shoes,"Walk, Run, Crawl, Stumble","Roller skate, Ice skate, Skateboard, Longboard",I love to skate at the roller rink with my friends.,2 class
331,Sled,A vehicle used for sliding downhill over snow or ice,"Car, Truck, Motorcycle, Bicycle","Toboggan, Sleigh, Bobsled, Snowmobile",We're going to sled down the hill after it snows.,2 class
332,Seal,"A marine mammal with flippers, a streamlined body, and a thick layer of blubber","Bird, Fish, Mammal, Reptile","Sea lion, Walrus, Otter, Dolphin",I saw a seal at the aquarium last weekend.,2 class
333,Apple,"A round fruit with red, green, or yellow skin and a white inside","Orange, Banana, Pear, Mango","Fruit, Pome, Gala, Granny Smith",I had an apple for a snack today.,2 class
334,Ant,A small six-legged insect that lives in colonies and often carries food back to its nest,"Human, Elephant, Lion, Giraffe","Insect, Formica, Myrmecia, Pheidole",I saw an ant carrying a crumb of bread on the sidewalk.,2 class
335,Airplane,A vehicle with wings and one or more engines that can fly through the air,"Car, Boat, Train, Bus","Aircraft, Plane, Jet, Helicopter",I'm going on an airplane ride to visit my grandparents.,2 class
336,Alphabet,"The set of letters used in a language, arranged in a particular order","Numbers, Symbols, Emojis, Pictures","ABCs, Letters, Writing, Language",I'm learning the alphabet in school this year.,2 class
337,Arrow,"A straight thin stick with a pointed end, used for shooting with a bow","Shield, Armor, Sword, Spear","Dart, Shaft, Quiver, Archery",I drew an arrow pointing to the treasure on the map.,2 class
338,Acorn,"The nut of an oak tree, with a cap and a hard shell","Walnut, Chestnut, Pecan, Pistachio","Nut, Seed, Oak nut, Oak drop",I found an acorn on the ground while hiking in the woods.,2 class
339,Animal,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous system","Plant, Mineral, Rock, Inanimate","Creature, Beast, Critter, Mammal",I love learning about different animals in science class.,2 class
340,Astronaut,A person who travels in space,"Earthling, Terrestrial, Groundling, Mortal","Space traveler, Cosmonaut, Rocketman, Space cadet",I want to be an astronaut when I grow up and explore the universe.,2 class
341,Autumn,"The season between summer and winter, characterized by cooler temperatures and falling leaves","Spring, Summer, Winter, Heat","Fall, Harvest, Crisp, Golden",The leaves on the trees turn orange and yellow in the autumn.,2 class
342,Aurora,"A natural light display in the sky, predominantly seen in high-latitude regions","Darkness, Night, Eclipse, Blackout","Northern lights, Southern lights, Aurora borealis, Aurora australis",I saw a beautiful aurora in the sky on our camping trip.,2 class
343,Alligator,"A large predatory reptile with a broad snout and sharp teeth, found in the southern United States and China","Mouse, Rabbit, Squirrel, Chipmunk","Crocodile, Caiman, Gator, Swamp lizard",I saw an alligator at the zoo last weekend.,2 class
344,Astronomer,A person who studies celestial objects and phenomena,"Uninterested, Disbeliever, Skeptic, Realist","Scientist, stargazer, cosmologist, astrophysicist",My uncle is an astronomer and studies the stars at night.,2 class
345,Aquarium,"A container filled with water and aquatic plants and animals, used for displaying and observing marine life","Zoo, Museum, Park, Garden","Fish tank, Terrarium, Vivarium, Reptile house",We went to the aquarium to see the fish and sharks.,2 class
346,Monkey,A small to medium-sized primate with a long tail and usually fur,"Human, Robot, Machine, Statue","Ape, Gorilla, Chimpanzee, Baboon",I saw a monkey swinging from the trees at the zoo.,2 class
347,Magic,"The art of producing illusions by sleight of hand, sometimes seen as supernatural","Science, Reality, Fact, Truth","Sorcery, Wizardry, Enchantment, Charm",The magician made a rabbit disappear with a magic wand.,2 class
348,Moon,"A natural satellite of Earth, visible in the night sky as a white or yellowish disc","Sun, Star, Planet, Earth","Lunar, Celestial, Satellite, Orbit",I looked up at the moon and saw a full moon tonight.,2 class
349,Music,"The art of sound in time that expresses ideas and emotions in significant forms through the elements of rhythm, melody, harmony, and color","Silence, Noise, Quiet, Stillness","Tune, Song, Melody, Harmony",I love listening to music and singing along with my favorite songs.,2 class
350,Mouse,"A small, typically furry, mammal with a pointed snout and rounded ears","Cat, Dog, Elephant, Giraffe","Rodent, Rat, Hamster, Gerbil",I saw a mouse running across the kitchen floor last night.,2 class
351,Magic Carpet,"A carpet that can fly through the air, often seen in fictional stories","Non-magical carpet, Plain carpet, Dirty carpet, Old carpet","Flying rug, Enchanted carpet, Aladdin's carpet, Genie's carpet",Aladdin flew on a magic carpet with his friends in the story.,2 class
352,Maple,"A tree or shrub with lobed leaves, winged fruits, and colorful autumn foliage","Evergreen, Palm, Cactus, Succulent","Tree, Sap, Leaf, Syrup",The maple leaves turn red and orange in the fall.,2 class
353,Mitten,"A glove with two sections, one for the thumb and the other for the four fingers","Bare hand, Fingerless glove, Arm warmer, Sleeve","Glove, Handwear, Mitt, Fleece",I wore a warm mitten on my hand to play in the snow.,2 class
354,Magic Wand,A stick or rod used by a magician to perform tricks or spells,"Non-magical stick, Regular wand, Branch, Twig","Enchanted wand, Fairy wand, Wizard wand, Harry Potter wand",The magician waved a magic wand and made a rabbit appear.,2 class
355,Marshmallow,"A soft, spongy confection made from sugar and gelatin, often used for roasting over a fire","Vegetable, Meat, Fruit, Cheese","Candy, Sweet, Fluffy, Treat",We roasted marshmallows over the campfire and made s'mores.,2 class
356,Monster,"A large, scary creature often seen in horror movies or books","Hero, Friend, Angel, Fairy","Beast, Ogre, Dragon, Werewolf",The monster under my bed scared me at night.,2 class
357,Moonlight,"Light reflected from the moon, often seen as a soft, silver glow","Sunlight, Daylight, Bright light, Artificial light","Lunar light, Night light, Moonshine, Starlight",The moonlight shone through my window and made a pattern on the floor.,2 class
358,Movie,"A motion picture, often seen in theaters or on a screen","Book, Play, Game, Music","Film, Flick, Cinema, Picture",We went to see a movie and ate popcorn and candy.,2 class
1124,Neat,Clean and orderly,"Messy, untidy, disorganized, sloppy","Tidy, organized, pristine, immaculate",The student's desk was always neat and tidy.,2 class
1125,Nice,Pleasant and agreeable,"Mean, rude, unpleasant, unfriendly","Friendly, kind, amiable, affable",The student was always nice to his classmates.,2 class
1126,Nervous,Anxious and uneasy,"Calm, relaxed, composed, confident","Anxious, apprehensive, uneasy, worried",The student felt nervous before taking the test.,2 class
1127,Noble,Having high moral principles,"Dishonorable, unethical, immoral, base","Honorable, virtuous, ethical, righteous",The student's actions showed a noble character.,2 class
1128,Naughty,Behaving badly or disobediently,"Obedient, well-behaved, compliant, dutiful","Mischievous, disobedient, unruly, impish",The student was being naughty and not listening to the teacher.,2 class
1129,Natural,Not artificial or forced,"Artificial, fake, contrived, forced","Genuine, authentic, spontaneous, uncontrived",The student had a natural talent for art.,2 class
1130,Needy,Lacking basic necessities or support,"Wealthy, affluent, self-sufficient, independent","Poor, impoverished, destitute, underprivileged",The student's family was in a needy situation and needed help.,2 class
1131,Noble-minded,Having high moral principles and ideals,"Dishonorable, unethical, immoral, base","Honorable, virtuous, ethical, righteous",The student had a noble-minded approach to problem-solving.,2 class
1132,Nifty,Attractive and stylish,"Unfashionable, outdated, uncool, dull","Cool, chic, trendy, fashionable",The student's new backpack was nifty and stylish.,2 class
1133,Noisy,Making a lot of noise,"Quiet, peaceful, serene, tranquil","Loud, boisterous, clamorous, raucous",The student's behavior was noisy and disruptive during class.,2 class
1134,Normal,Typical and expected,"Abnormal, unusual, atypical, exceptional","Average, typical, standard, ordinary",The student's behavior was normal and within the expected range.,2 class
1135,Nostalgic,Feeling a longing for the past,"Unsentimental, unemotional, indifferent, aloof","Sentimental, wistful, yearning, longing",The student felt nostalgic when looking at old family photos.,2 class
1136,Nurturing,Providing care and support for others,"Neglectful, uncaring, indifferent, aloof","Caring, attentive, affectionate, protective",The teacher was very nurturing towards her students.,2 class
1137,Nervy,Bold and daring,"Timid, cowardly, fearful, afraid","Bold, daring, courageous, fearless",The student showed a nervy approach to solving the problem.,2 class
1138,Noteworthy,Worthy of attention or notice,"Insignificant, unremarkable, ordinary, average","Remarkable, notable, significant, outstanding",The student's achievements were noteworthy and impressive.,2 class
1139,Novel,New and original,"Unoriginal, derivative, clich�d, hackneyed","Innovative, fresh, unique, creative",The student had a novel idea for a science project.,2 class
1140,Nippy,Chilly or cold,"Warm, hot, balmy, sultry","Cold, chilly, frosty, freezing",The student felt nippy in the winter weather.,2 class
1141,Thankful,Feeling or expressing gratitude,"Ungrateful, thankless, unappreciative, resentful","Grateful, appreciative, obliged, beholden",The student was thankful for the help from the teacher.,2 class
1142,Talkative,Fond of talking or conversing,"Quiet, reserved, uncommunicative, taciturn","Chatty, communicative, sociable, garrulous",The student was very talkative and enjoyed chatting with classmates.,2 class
1143,Timid,Shy or lacking confidence,"Bold, confident, brave, fearless","Shy, bashful, hesitant, apprehensive",The student was too timid to ask a question in class.,2 class
1144,Tidy,Clean and organized,"Messy, untidy, disorganized, sloppy","Neat, orderly, pristine, immaculate",The student's room was always tidy and clean.,2 class
1145,Thoughtful,Showing consideration for others,"Inconsiderate, thoughtless, uncaring, selfish","Considerate, kind, caring, empathetic",The student was very thoughtful and helped his friend in need.,2 class
1146,Trustworthy,Able to be relied on,"Unreliable, untrustworthy, dishonest, deceitful","Reliable, dependable, honest, faithful",The student was trustworthy and always kept his promises.,2 class
1147,Talented,Having a natural skill or ability,"Untalented, unskilled, incompetent, inept","Gifted, skilled, proficient, accomplished",The student was very talented in playing the piano.,2 class
1148,Tasty,Having a pleasing flavor,"Tasteless, bland, unappetizing, unpalatable","Delicious, savory, appetizing, flavorful",The student's homemade cookies were very tasty.,2 class
1149,Terrific,Very good or impressive,"Terrible, awful, dreadful, horrendous","Excellent, wonderful, fantastic, amazing",The student's performance in the school play was terrific.,2 class
1150,Tough,Difficult or challenging,"Easy, simple, effortless, undemanding","Challenging, demanding, arduous, strenuous",The student found the math problem very tough to solve.,2 class
1151,Temperate,Moderate or mild,"Extreme, harsh, severe, intense","Moderate, mild, temperate, gentle",The student enjoyed the temperate weather during the spring.,2 class
1152,Thrifty,Careful with money,"Wasteful, extravagant, lavish, spendthrift","Frugal, economical, thrifty, prudent",The student was very thrifty and saved his allowance.,2 class
1153,Tired,Feeling exhausted or sleepy,"Energetic, rested, refreshed, wide awake","Fatigued, exhausted, worn out, sleepy",The student felt tired after playing outside all day.,2 class
1154,Terrified,Feeling extreme fear or terror,"Brave, unafraid, courageous, bold","Fearful, scared, frightened, petrified",The student was terrified of the dark.,2 class
1155,Timely,Happening at the right time,"Late, delayed, tardy, overdue","Prompt, on time, punctual, timely",The student always handed in his assignments timely.,2 class
1156,Trusting,Willing to believe or trust others,"Suspicious, skeptical, distrustful, cynical","Trustful, trusting, credulous, gullible",The student was very trusting of his friends.,2 class
1157,Teamwork,Cooperative effort by a group of people,"Individualism, competition, solo effort, isolation","Collaboration, cooperation, partnership, teamwork",The student excelled in teamwork during group projects.,2 class
1158,Polite,Showing good manners and respect,"Impolite, rude, discourteous, uncivil","Courteous, well-mannered, gracious, civil",The student always used polite language when speaking to adults.,2 class
1159,Patient,Able to wait calmly without becoming annoyed,"Impatient, restless, agitated, irritable","Tolerant, composed, unflappable, serene",The student was patient while waiting in line.,2 class
1160,Playful,Fond of playing or joking,"Serious, somber, solemn, sedate","Lively, spirited, fun-loving, mischievous",The student was always playful and enjoyed making jokes.,2 class
1161,Positive,Having a favorable or optimistic attitude,"Pessimistic, negative, hopeless, doubtful","Optimistic, upbeat, hopeful, confident",The student had a positive outlook on the future.,2 class
1162,Perseverant,Persistent in achieving a goal,"Quitting, giving up, surrendering, quitting","Persistent, determined, tenacious, steadfast",The student was perseverant in finishing his homework.,2 class
1163,Prepared,Ready for something in advance,"Unprepared, disorganized, unready, unequipped","Ready, organized, equipped, primed",The student was prepared for the math test.,2 class
1164,Pleasant,Agreeable or enjoyable,"Unpleasant, disagreeable, irritating, unpleasant","Enjoyable, agreeable, pleasing, delightful",The student had a pleasant smile and attitude.,2 class
1165,Polished,Smooth and shiny,"Dull, rough, unpolished, tarnished","Smooth, shiny, glossy, lustrous",The student's shoes were polished and shiny.,2 class
1166,Proud,Feeling a sense of satisfaction and honor,"Ashamed, embarrassed, humiliated, dishonorable","Proud, dignified, honorable, majestic",The student was proud of his academic achievements.,2 class
1167,Productive,Able to produce or accomplish something,"Unproductive, ineffective, fruitless, unsuccessful","Efficient, fruitful, successful, effective",The student was very productive during the study session.,2 class
1168,Prompt,Being on time or punctual,"Late, tardy, delayed, overdue","Timely, punctual, on time, immediate",The student was always prompt in submitting assignments.,2 class
1169,Polished,Having good manners and etiquette,"Uncultured, unrefined, coarse, unsophisticated","Cultured, refined, polished, sophisticated",The student had polished manners and spoke eloquently.,2 class
1170,Practical,Useful and functional in real-life situations,"Impractical, idealistic, theoretical, unrealistic","Pragmatic, realistic, functional, utilitarian",The student had a practical approach to problem-solving.,2 class
1171,Punctual,Being on time or prompt,"Late, delayed, tardy, overdue","Timely, prompt, on time, punctual",The student was always punctual for class.,2 class
