"id";"word";"word_definition";"antonyms";"synonyms";"example";"relevance";"has_question";"context_id"
160;"Magical";"Having the power to enchant or amaze";"Ordinary, Boring, Mundane, Unimpressive";"Enchanting, Amazing, Mystical, Marvelous";"The magician performed a magical trick that left the audience in awe.";"5 class";1;0
161;"Mischievous";"Playfully causing trouble or harm";"Well-behaved, Innocent, Harmless, Good-natured";"Naughty, Prankish, Rascally, Wicked";"The mischievous kitten knocked over a vase and then ran away.";"5 class";1;0
162;"Marvelous";"Extremely good or impressive";"Terrible, Horrible, Awful, Bad";"Wonderful, Amazing, Excellent, Splendid";"The chef prepared a marvelous meal that everyone enjoyed.";"5 class";1;0
163;"Modest";"Not boastful or overly proud";"Arrogant, Boastful, Conceited, Proud";"Humble, Unassuming, Simple, Shy";"She was very modest about her achievements and didn't like to brag.";"5 class";1;0
164;"Mission";"A task or goal that someone is assigned to complete";"Inaction, Apathy, Neglect, Indifference";"Task, Assignment, Duty, Objective";"The astronauts' mission was to explore Mars and gather data.";"5 class";1;0
165;"Memorable";"Worthy of being remembered or unforgettable";"Forgettable, Insignificant, Unremarkable, Inconsequential";"Unforgettable, Remarkable, Notable, Significant";"My trip to Disneyland was a memorable experience that I will never forget.";"5 class";1;0
166;"Mature";"Fully grown or developed";"Immature, Childish, Irresponsible, Naive";"Adult, Grown-up, Responsible, Sophisticated";"It's important to be mature and handle situations calmly and responsibly.";"5 class";1;0
167;"Motive";"A reason or purpose for doing something";"Unintentional, Accidental, Unplanned, Random";"Reason, Purpose, Intention, Aim";"The detective tried to determine the motive for the crime.";"5 class";1;0
168;"Marvel";"Something that is wonderful or amazing";"Ordinary, Mundane, Average, Common";"Wonder, Miracle, Phenomenon, Spectacle";"The aurora borealis was a marvel to behold in the night sky.";"5 class";1;0
169;"Fantastic";"Very good or impressive";"Terrible, Horrible, Awful, Mediocre";"Amazing, Wonderful, Awesome, Incredible";"The rollercoaster ride was fantastic!";"5 class";1;0
170;"Fierce";"Very strong or powerful";"Gentle, Mild, Calm, Weak";"Ferocious, Savage, Wild, Intense";"The tiger looked fierce as it roared in the jungle.";"5 class";1;0
171;"Flexible";"Able to bend or change easily";"Rigid, Inflexible, Stiff, Unyielding";"Bendable, Pliable, Adaptable, Versatile";"The gymnast was very flexible and could do many different moves.";"5 class";1;0
172;"Friendship";"A relationship between friends";"Hostility, Enmity, Animosity, Antagonism";"Companionship, Camaraderie, Brotherhood, Fellowship";"True friendship means always being there for each other.";"5 class";1;0
173;"Fun";"Enjoyable or amusing activity";"Boredom, Drudgery, Monotony, Misery";"Entertainment, Play, Pleasure, Recreation";"Playing games with friends is always fun.";"5 class";1;0
174;"Fascinating";"Extremely interesting or captivating";"Boring, Dull, Uninteresting, Tedious";"Intriguing, Engrossing, Compelling, Absorbing";"The museum had many fascinating exhibits about ancient civilizations.";"5 class";1;0
175;"Fear";"A feeling of being afraid or scared";"Courage, Bravery, Fearlessness, Boldness";"Anxiety, Dread, Terror, Panic";"I have a fear of spiders and always try to avoid them.";"5 class";1;0
176;"Fresh";"New or recently made or obtained";"Stale, Old, Rotten, Spoiled";"New, Recent, Novel, Refreshing";"The fresh flowers smelled so sweet and looked beautiful.";"5 class";1;0
177;"Forgiveness";"The act of forgiving or pardoning someone";"Retribution, Vengeance, Revenge, Resentment";"Pardon, Mercy, Compassion, Grace";"It takes courage to ask for forgiveness and to forgive others.";"5 class";1;0
178;"Fluffy";"Soft and light in texture or appearance";"Flat, Hard, Dense, Heavy";"Soft, Fuzzy, Puffy, Light";"The puppy's fur was so fluffy and adorable.";"5 class";1;0
179;"Familiar";"Well-known or easily recognized";"Unfamiliar, Unknown, Strange, Uncommon";"Recognizable, Known, Acquainted, Common";"The song was familiar and reminded me of my childhood.";"5 class";1;0
180;"Freedom";"The power or right to act, speak, or think as one wants";"Captivity, Slavery, Oppression, Tyranny";"Liberty, Autonomy, Independence, Self-determination";"Many people fought for their freedom and civil rights throughout history.";"5 class";1;0
181;"Friendly";"Kind and pleasant towards others";"Unfriendly, Hostile, Antagonistic, Rude";"Kind, Amiable, Sociable, Hospitable";"The new student was very friendly and made friends quickly.";"5 class";1;0
182;"Foolish";"Showing lack of good sense or judgement";"Wise, Sensible, Intelligent, Rational";"Silly, Stupid, Senseless, Absurd";"It would be foolish to try to swim in the ocean during a storm.";"5 class";1;0
183;"Frank";"Open and honest in speech or expression";"Dishonest, Deceitful, Insincere, False";"Candid, Direct, Blunt, Honest";"He was very frank about his feelings and opinions.";"5 class";1;0
184;"Apple";"A round fruit with a red, green, or yellow skin and white flesh inside";"Orange, Banana, Pear, Pineapple";"Fruit, Pippin, Golden Delicious, Granny Smith";"I love to eat apples for a snack.";"Prep Class";1;0
185;"Bear";"A large, furry animal with a big body and round ears";"Mouse, Rabbit, Squirrel, Chipmunk";"Animal, Grizzly, Polar, Panda";"We saw a big brown bear at the zoo.";"Prep Class";1;0
186;"Car";"A vehicle with four wheels that is used for transportation";"Bike, Scooter, Skateboard, Roller skates";"Automobile, Truck, Van, SUV";"I want to ride in the car to go to the park.";"Prep Class";1;0
187;"Dog";"A four-legged animal with fur, a wagging tail, and a bark";"Cat, Mouse, Bird, Fish";"Canine, Pup, Hound, Terrier";"Our dog loves to play fetch with his ball.";"Prep Class";1;0
188;"Egg";"An oval-shaped object with a hard shell that contains a baby bird or reptile";"Square, Triangle, Circle, Hexagon";"Oval, Shell, Yolk, White";"We boiled eggs for breakfast this morning.";"Prep Class";1;0
189;"Frog";"A small, slimy animal with a long tongue and webbed feet";"Bird, Fish, Mouse, Rabbit";"Amphibian, Toad, Bullfrog, Tree frog";"We saw a green frog jumping in the pond.";"Prep Class";1;0
190;"Hat";"A head covering made of fabric or other materials";"Coat, Shoes, Pants, Shirt";"Cap, Beanie, Fedora, Sunhat";"I wear a hat to keep the sun out of my eyes.";"Prep Class";1;0
191;"Ice cream";"A frozen dessert made from milk or cream and sweet flavorings";"Broccoli, Spinach, Carrots, Brussel sprouts";"Dessert, Gelato, Sorbet, Sherbet";"I like to eat chocolate ice cream on a hot day.";"Prep Class";1;0
192;"Juice";"A drink made from squeezed fruit or vegetables";"Solid, Food, Snack, Meal";"Beverage, Nectar, Extract, Pressing";"I want to drink orange juice with my breakfast.";"Prep Class";1;0
193;"Kite";"A toy that flies in the air when the wind blows";"Car, Train, Boat, Plane";"Toy, Paper, Plastic, Diamond";"Let's fly a kite in the park on a windy day.";"Prep Class";1;0
194;"Lion";"A large, powerful cat with a golden mane and a roar";"Mouse, Rabbit, Squirrel, Chipmunk";"Animal, Panther, Tiger, Leopard";"We saw a lion at the zoo and it was very loud.";"Prep Class";1;0
195;"Moon";"The natural satellite of the Earth that is visible at night";"Sun, Star, Cloud, Sky";"Satellite, Orbit, Crescent, Full";"Look, there's a full moon in the sky tonight.";"Prep Class";1;0
196;"Nest";"A home or shelter built by birds or other animals";"Office, School, Hospital, Store";"Home, Shelter, Roost, Den";"We found a bird's nest in the tree in our backyard.";"Prep Class";1;0
197;"Orange";"A round fruit with a thick skin that is orange in color";"Apple, Banana, Pear, Pineapple";"Fruit, Tangerine, Clementine, Mandarin";"I want to eat an orange for a snack.";"Prep Class";1;0
